time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll, Quad.Est.E.MaxEuler
0.005000,0.000000,-0.000021,0.000010,0.000021
0.010000,0.000001,-0.000113,0.000011,0.000113
0.015000,-0.000000,-0.000496,0.000013,0.000496
0.020000,-0.000001,-0.000936,0.000001,0.000936
0.025000,-0.000004,-0.001920,-0.000043,0.001920
0.030000,-0.000004,-0.002805,-0.000063,0.002805
0.035000,-0.000004,-0.004359,-0.000101,0.004359
0.040000,-0.000002,-0.005496,-0.000104,0.005496
0.045000,0.000002,-0.007323,-0.000096,0.007323
0.050000,0.000006,-0.008561,-0.000092,0.008561
0.055000,0.000011,-0.010232,-0.000091,0.010232
0.060000,0.000015,-0.011097,-0.000087,0.011097
0.065000,0.000019,-0.011929,-0.000048,0.011929
0.070000,0.000022,-0.012132,-0.000019,0.012132
0.075000,0.000026,-0.011962,-0.000003,0.011962
0.080000,0.000027,-0.011565,-0.000008,0.011565
0.085000,0.000026,-0.010658,-0.000029,0.010658
0.090000,0.000025,-0.009937,-0.000031,0.009937
0.095000,0.000023,-0.008795,-0.000033,0.008795
0.100000,0.000021,-0.008019,-0.000029,0.008019
0.105000,0.000018,-0.006907,-0.000017,0.006907
0.110000,0.000017,-0.006242,-0.000008,0.006242
0.115000,0.000012,-0.005356,-0.000003,0.005356
0.120000,0.000009,-0.004856,-0.000007,0.004856
0.125000,0.000003,-0.004274,-0.000024,0.004274
0.130000,0.000001,-0.003982,-0.000020,0.003982
0.135000,-0.000002,-0.003682,-0.000002,0.003682
0.140000,-0.000004,-0.003525,0.000013,0.003525
0.145000,-0.000008,-0.003111,0.000031,0.003111
0.150000,-0.000012,-0.002594,0.000057,0.002594
0.155000,-0.000019,-0.001361,0.000074,0.001361
0.160000,-0.000025,-0.000251,0.000095,0.000251
0.165000,-0.000032,0.001770,0.000109,0.001770
0.170000,-0.000036,0.003302,0.000114,0.003302
0.175000,-0.000041,0.005811,0.000106,0.005811
0.180000,-0.000044,0.007576,0.000085,0.007576
0.185000,-0.000048,0.010296,0.000075,0.010296
0.190000,-0.000049,0.012107,0.000084,0.012107
0.195000,-0.000050,0.014766,0.000103,0.014766
0.200000,-0.000050,0.016469,0.000110,0.016469
0.205000,-0.000047,0.018769,0.000103,0.018769
0.210000,-0.000045,0.019936,0.000101,0.019936
0.215000,-0.000043,0.020931,0.000080,0.020931
0.220000,-0.000042,0.021045,0.000057,0.021045
0.225000,-0.000042,0.020518,0.000027,0.020518
0.230000,-0.000042,0.019796,0.000013,0.019796
0.235000,-0.000040,0.018309,0.000013,0.018309
0.240000,-0.000039,0.017122,0.000010,0.017122
0.245000,-0.000037,0.015213,0.000012,0.015213
0.250000,-0.000036,0.013900,0.000024,0.013900
0.255000,-0.000034,0.011934,0.000058,0.011934
0.260000,-0.000032,0.010645,0.000075,0.010645
0.265000,-0.000031,0.008794,0.000103,0.008794
0.270000,-0.000031,0.007674,0.000106,0.007674
0.275000,-0.000031,0.006237,0.000112,0.006237
0.280000,-0.000032,0.005478,0.000117,0.005478
0.285000,-0.000032,0.004623,0.000095,0.004623
0.290000,-0.000032,0.004237,0.000072,0.004237
0.295000,-0.000032,0.003874,0.000031,0.003874
0.300000,-0.000033,0.003731,0.000017,0.003731
0.305000,-0.000034,0.003634,0.000038,0.003634
0.310000,-0.000036,0.003606,0.000054,0.003606
0.314999,-0.000037,0.003579,0.000070,0.003579
0.319999,-0.000037,0.003573,0.000081,0.003573
