time, Quad.Roll, Quad.Est.Roll, Quad.Pitch, Quad.Est.Pitch, Quad.Yaw, Quad.Est.Yaw
0.005000,0.000015,0.000018,-0.000025,-0.000033,0.000000,0.000000
0.010000,0.000055,0.000050,-0.000310,-0.000251,0.000002,0.000002
0.015000,0.000106,0.000110,-0.001403,-0.001577,0.000003,0.000003
0.020000,0.000123,0.000125,-0.004084,-0.003709,0.000001,0.000001
0.025000,0.000033,0.000018,-0.009178,-0.009839,-0.000009,-0.000011
0.030000,-0.000151,-0.000129,-0.017644,-0.016602,-0.000021,-0.000021
0.035000,-0.000431,-0.000467,-0.030239,-0.031723,-0.000031,-0.000033
0.040000,-0.000774,-0.000743,-0.047441,-0.045480,-0.000034,-0.000037
0.045000,-0.001094,-0.001127,-0.069604,-0.072083,-0.000024,-0.000025
0.050000,-0.001403,-0.001373,-0.096912,-0.093938,0.000007,-0.000003
0.055000,-0.001712,-0.001742,-0.129062,-0.132511,0.000059,0.000058
0.060000,-0.002014,-0.001985,-0.165176,-0.161428,0.000134,0.000116
0.065000,-0.002237,-0.002250,-0.204018,-0.208025,0.000229,0.000227
0.070000,-0.002335,-0.002326,-0.244174,-0.240178,0.000340,0.000316
0.075000,-0.002368,-0.002365,-0.284267,-0.288281,0.000468,0.000467
0.080000,-0.002411,-0.002396,-0.323038,-0.319322,0.000604,0.000575
0.085000,-0.002513,-0.002517,-0.359513,-0.363097,0.000743,0.000742
0.090000,-0.002648,-0.002625,-0.393066,-0.389951,0.000884,0.000852
0.095000,-0.002786,-0.002790,-0.423462,-0.426439,0.001024,0.001019
0.100000,-0.002927,-0.002902,-0.450584,-0.448145,0.001163,0.001129
0.105000,-0.003040,-0.003036,-0.474509,-0.476876,0.001298,0.001290
0.110000,-0.003120,-0.003100,-0.495503,-0.493677,0.001430,0.001395
0.115000,-0.003177,-0.003169,-0.513894,-0.515766,0.001555,0.001543
0.120000,-0.003245,-0.003223,-0.530026,-0.528675,0.001667,0.001633
0.125000,-0.003364,-0.003361,-0.544334,-0.545868,0.001766,0.001750
0.130000,-0.003485,-0.003458,-0.557259,-0.556212,0.001857,0.001822
0.135000,-0.003575,-0.003565,-0.569194,-0.570552,0.001942,0.001923
0.140000,-0.003596,-0.003580,-0.580397,-0.579530,0.002018,0.001984
0.145000,-0.003573,-0.003552,-0.590619,-0.591798,0.002086,0.002065
0.150000,-0.003460,-0.003461,-0.599009,-0.598541,0.002139,0.002108
0.155000,-0.003284,-0.003249,-0.604351,-0.604947,0.002174,0.002150
0.160000,-0.003040,-0.003054,-0.605426,-0.605835,0.002186,0.002159
0.165000,-0.002744,-0.002697,-0.601148,-0.600704,0.002176,0.002147
0.170000,-0.002418,-0.002436,-0.590687,-0.592355,0.002152,0.002127
0.175000,-0.002106,-0.002061,-0.573394,-0.571612,0.002116,0.002083
0.180000,-0.001853,-0.001860,-0.548821,-0.551967,0.002070,0.002045
0.185000,-0.001654,-0.001619,-0.516706,-0.513444,0.002018,0.001982
0.190000,-0.001439,-0.001446,-0.476976,-0.481668,0.001964,0.001936
0.195000,-0.001174,-0.001129,-0.429756,-0.425024,0.001911,0.001871
0.200000,-0.000880,-0.000891,-0.375284,-0.381449,0.001866,0.001832
0.205000,-0.000593,-0.000545,-0.314091,-0.308053,0.001835,0.001792
0.210000,-0.000331,-0.000335,-0.247428,-0.254699,0.001821,0.001779
0.215000,-0.000098,-0.000058,-0.177239,-0.170520,0.001823,0.001779
0.220000,0.000041,0.000053,-0.105789,-0.113333,0.001831,0.001785
0.225000,0.000107,0.000129,-0.035174,-0.028625,0.001840,0.001796
0.230000,0.000092,0.000116,0.032927,0.025875,0.001845,0.001801
0.235000,0.000065,0.000083,0.097253,0.103050,0.001848,0.001807
0.240000,0.000033,0.000057,0.156855,0.150743,0.001851,0.001811
0.245000,-0.000001,0.000017,0.211234,0.216002,0.001854,0.001817
0.250000,-0.000005,0.000013,0.260162,0.255152,0.001858,0.001820
0.255000,0.000078,0.000113,0.303582,0.307270,0.001864,0.001829
0.260000,0.000241,0.000243,0.341560,0.337659,0.001877,0.001839
0.265000,0.000481,0.000530,0.374265,0.376925,0.001899,0.001863
0.270000,0.000758,0.000752,0.402084,0.399180,0.001925,0.001883
0.275000,0.001037,0.001089,0.425634,0.427468,0.001953,0.001915
0.280000,0.001350,0.001341,0.445692,0.443512,0.001983,0.001939
0.285000,0.001629,0.001674,0.463071,0.464395,0.002016,0.001977
0.290000,0.001827,0.001834,0.478548,0.476776,0.002049,0.002003
0.295000,0.001909,0.001933,0.492794,0.493894,0.002082,0.002043
0.300000,0.001896,0.001921,0.506266,0.504676,0.002114,0.002069
0.305000,0.001915,0.001943,0.519326,0.520367,0.002140,0.002101
0.310000,0.002001,0.002013,0.532188,0.530665,0.002161,0.002118
0.314999,0.002138,0.002177,0.544929,0.545970,0.002177,0.002137
0.319999,0.002323,0.002326,0.557575,0.556098,0.002194,0.002150
0.324999,0.002548,0.002594,0.570123,0.571170,0.002211,0.002171
0.329999,0.002812,0.002806,0.582456,0.581051,0.002233,0.002188
0.334999,0.003074,0.003118,0.594313,0.595288,0.002258,0.002217
0.339999,0.003291,0.003293,0.605288,0.604086,0.002283,0.002237
0.344999,0.003434,0.003466,0.614892,0.615616,0.002306,0.002265
0.349999,0.003488,0.003507,0.622644,0.621835,0.002324,0.002279
0.354999,0.003502,0.003524,0.628084,0.628372,0.002330,0.002287
0.359999,0.003491,0.003517,0.630884,0.630623,0.002321,0.002279
0.364999,0.003404,0.003412,0.630900,0.630657,0.002297,0.002251
0.369999,0.003241,0.003281,0.628050,0.628387,0.002259,0.002220
0.374999,0.003120,0.003136,0.622318,0.621528,0.002210,0.002160
0.379999,0.003116,0.003132,0.613927,0.614821,0.002148,0.002111
0.384999,0.003234,0.003272,0.603136,0.601892,0.002076,0.002025
0.389999,0.003398,0.003404,0.590281,0.591611,0.002000,0.001964
0.394998,0.003545,0.003579,0.575809,0.574265,0.001923,0.001870
0.399998,0.003643,0.003657,0.560110,0.561709,0.001844,0.001808
0.404998,0.003725,0.003756,0.543534,0.541839,0.001768,0.001715
