time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll, Quad.Est.E.MaxEuler
0.005000,0.000000,-0.000021,0.000010,0.000021
0.010000,0.000001,-0.000113,0.000011,0.000113
0.015000,0.000000,-0.000496,0.000013,0.000496
0.020000,-0.000001,-0.000936,0.000001,0.000936
0.025000,-0.000003,-0.001920,-0.000043,0.001920
0.030000,-0.000003,-0.002805,-0.000063,0.002805
0.035000,-0.000007,-0.004359,-0.000102,0.004359
0.040000,-0.000013,-0.005496,-0.000105,0.005496
0.045000,-0.000032,-0.007323,-0.000096,0.007323
0.050000,-0.000054,-0.008561,-0.000090,0.008561
0.055000,-0.000107,-0.010232,-0.000083,0.010232
0.060000,-0.000156,-0.011097,-0.000071,0.011097
0.065000,-0.000251,-0.011929,-0.000012,0.011929
0.070000,-0.000323,-0.012132,0.000036,0.012132
0.075000,-0.000436,-0.011962,0.000091,0.011962
0.080000,-0.000514,-0.011566,0.000117,0.011566
0.085000,-0.000630,-0.010659,0.000151,0.010659
0.090000,-0.000707,-0.009938,0.000189,0.009938
0.095000,-0.000820,-0.008796,0.000252,0.008796
0.100000,-0.000893,-0.008020,0.000302,0.008020
0.105000,-0.000997,-0.006909,0.000385,0.006909
0.110000,-0.001062,-0.006245,0.000443,0.006245
0.115000,-0.001154,-0.005359,0.000519,0.005359
0.120000,-0.001210,-0.004859,0.000559,0.004859
0.125000,-0.001288,-0.004277,0.000602,0.004277
0.130000,-0.001336,-0.003985,0.000644,0.003985
0.135000,-0.001404,-0.003685,0.000716,0.003685
0.140000,-0.001449,-0.003529,0.000763,0.003529
0.145000,-0.001510,-0.003115,0.000826,0.003115
0.150000,-0.001545,-0.002598,0.000876,0.002598
0.155000,-0.001581,-0.001365,0.000916,0.001581
0.160000,-0.001591,-0.000254,0.000942,0.001591
0.165000,-0.001582,0.001767,0.000949,0.001767
0.170000,-0.001560,0.003298,0.000944,0.003298
0.175000,-0.001510,0.005808,0.000911,0.005808
0.180000,-0.001468,0.007572,0.000870,0.007572
0.185000,-0.001394,0.010293,0.000827,0.010293
0.190000,-0.001339,0.012104,0.000814,0.012104
0.195000,-0.001258,0.014763,0.000803,0.014763
0.200000,-0.001208,0.016466,0.000795,0.016466
0.205000,-0.001146,0.018765,0.000774,0.018765
0.210000,-0.001117,0.019933,0.000768,0.019933
0.215000,-0.001095,0.020928,0.000746,0.020928
0.220000,-0.001093,0.021041,0.000725,0.021041
0.225000,-0.001100,0.020514,0.000696,0.020514
0.230000,-0.001107,0.019792,0.000682,0.019792
0.235000,-0.001113,0.018305,0.000681,0.018305
0.240000,-0.001115,0.017118,0.000678,0.017118
0.245000,-0.001116,0.015209,0.000679,0.015209
0.250000,-0.001116,0.013896,0.000690,0.013896
0.255000,-0.001116,0.011930,0.000722,0.011930
0.260000,-0.001120,0.010642,0.000736,0.010642
0.265000,-0.001132,0.008791,0.000755,0.008791
0.270000,-0.001147,0.007671,0.000750,0.007671
0.275000,-0.001174,0.006234,0.000743,0.006234
0.280000,-0.001195,0.005475,0.000738,0.005475
0.285000,-0.001229,0.004620,0.000700,0.004620
0.290000,-0.001254,0.004234,0.000666,0.004234
0.295000,-0.001290,0.003871,0.000606,0.003871
0.300000,-0.001315,0.003728,0.000579,0.003728
0.305000,-0.001351,0.003630,0.000584,0.003630
0.310000,-0.001374,0.003603,0.000592,0.003603
0.314999,-0.001410,0.003576,0.000598,0.003576
0.319999,-0.001434,0.003570,0.000602,0.003570
