time, Quad.Pos.Z, Quad.Est.Z, Quad.Vel.Z, Quad.Est.VZ
0.005000,-1.000001,-1.000000,-0.000347,-0.000218
0.010000,-1.000004,-1.000002,-0.000962,-0.000621
0.015000,-1.000012,-1.000007,-0.001678,-0.001524
0.020000,-1.000023,-1.000014,-0.002636,-0.002291
0.025000,-1.000040,-1.000030,-0.003907,-0.003632
0.030000,-1.000064,-1.000046,-0.005692,-0.005002
0.035000,-1.000099,-1.000081,-0.007408,-0.007153
0.040000,-1.000139,-1.000111,-0.008308,-0.007973
0.045000,-1.000183,-1.000160,-0.009425,-0.009236
0.050000,-1.000235,-1.000198,-0.010766,-0.010428
0.055000,-1.000291,-1.000263,-0.011686,-0.011490
0.060000,-1.000352,-1.000310,-0.012465,-0.012159
0.065000,-1.000416,-1.000384,-0.012920,-0.012702
0.070000,-1.000481,-1.000436,-0.013109,-0.012919
0.075000,-1.000547,-1.000513,-0.013428,-0.013141
0.080000,-1.000616,-1.000566,-0.014199,-0.013648
0.085000,-1.000692,-1.000651,-0.015568,-0.015155
0.090000,-1.000773,-1.000713,-0.016618,-0.016158
0.095000,-1.000858,-1.000811,-0.017456,-0.017085
0.100000,-1.000948,-1.000880,-0.018240,-0.017630
0.105000,-1.001042,-1.000988,-0.019281,-0.018869
0.110000,-1.001142,-1.001064,-0.020325,-0.019659
0.115000,-1.001245,-1.001184,-0.021003,-0.020639
0.120000,-1.001351,-1.001267,-0.021279,-0.020849
0.125000,-1.001458,-1.001393,-0.021610,-0.021151
0.130000,-1.001568,-1.001478,-0.022368,-0.021618
0.135000,-1.001683,-1.001609,-0.023219,-0.022575
0.140000,-1.001801,-1.001700,-0.024068,-0.023187
0.145000,-1.001924,-1.001842,-0.024815,-0.024231
0.150000,-1.002050,-1.001939,-0.025505,-0.024813
0.155000,-1.002179,-1.002089,-0.025688,-0.025179
0.160000,-1.002308,-1.002190,-0.025866,-0.025218
0.165000,-1.002438,-1.002342,-0.026158,-0.025611
0.170000,-1.002569,-1.002445,-0.026331,-0.025693
0.175000,-1.002701,-1.002599,-0.026431,-0.025892
0.180000,-1.002834,-1.002703,-0.026632,-0.025998
0.185000,-1.002968,-1.002860,-0.027149,-0.026625
0.190000,-1.003105,-1.002967,-0.027339,-0.026917
0.195000,-1.003240,-1.003128,-0.026724,-0.026244
0.200000,-1.003373,-1.003232,-0.026674,-0.026088
0.205000,-1.003507,-1.003389,-0.026954,-0.026339
0.210000,-1.003643,-1.003495,-0.027207,-0.026663
0.215000,-1.003778,-1.003654,-0.026976,-0.026430
0.220000,-1.003913,-1.003760,-0.026884,-0.026270
0.225000,-1.004047,-1.003918,-0.026932,-0.026342
0.230000,-1.004183,-1.004023,-0.027182,-0.026405
0.235000,-1.004320,-1.004183,-0.027689,-0.026897
0.240000,-1.004461,-1.004291,-0.028580,-0.027631
0.245000,-1.004606,-1.004459,-0.029026,-0.028344
0.250000,-1.004751,-1.004572,-0.029230,-0.028440
0.255000,-1.004897,-1.004743,-0.029176,-0.028495
0.260000,-1.005042,-1.004857,-0.028758,-0.028260
0.265000,-1.005185,-1.005026,-0.028521,-0.027906
0.270000,-1.005327,-1.005137,-0.028403,-0.027675
0.275000,-1.005469,-1.005303,-0.028415,-0.027685
0.280000,-1.005611,-1.005414,-0.028480,-0.027836
0.285000,-1.005754,-1.005581,-0.028449,-0.027735
0.290000,-1.005897,-1.005692,-0.028725,-0.027950
0.295000,-1.006040,-1.005860,-0.028685,-0.028096
0.300000,-1.006183,-1.005973,-0.028368,-0.027983
0.305000,-1.006323,-1.006139,-0.027813,-0.027292
0.310000,-1.006460,-1.006248,-0.027162,-0.026817
0.314999,-1.006593,-1.006406,-0.025999,-0.025372
0.319999,-1.006719,-1.006506,-0.024893,-0.024452
0.324999,-1.006842,-1.006651,-0.024373,-0.023732
0.329999,-1.006963,-1.006745,-0.024093,-0.023305
0.334999,-1.007083,-1.006885,-0.024060,-0.023301
0.339999,-1.007203,-1.006978,-0.023821,-0.023201
0.344999,-1.007321,-1.007116,-0.023309,-0.022624
0.349999,-1.007434,-1.007206,-0.022472,-0.021885
0.354999,-1.007544,-1.007335,-0.021575,-0.020806
0.359999,-1.007649,-1.007418,-0.020732,-0.020093
0.364999,-1.007752,-1.007537,-0.020247,-0.019391
0.369999,-1.007851,-1.007614,-0.019847,-0.018979
0.374999,-1.007950,-1.007728,-0.019449,-0.018699
0.379999,-1.008046,-1.007803,-0.019098,-0.018376
0.384999,-1.008139,-1.007912,-0.018522,-0.017672
0.389999,-1.008231,-1.007982,-0.018197,-0.017373
0.394998,-1.008322,-1.008085,-0.018016,-0.017077
0.399998,-1.008411,-1.008153,-0.017716,-0.016856
0.404998,-1.008498,-1.008253,-0.017050,-0.016162
0.409998,-1.008580,-1.008317,-0.016038,-0.015391
0.414998,-1.008658,-1.008407,-0.015252,-0.014327
0.419998,-1.008731,-1.008463,-0.014350,-0.013542
0.424998,-1.008801,-1.008543,-0.013806,-0.012837
0.429998,-1.008870,-1.008594,-0.013605,-0.012647
0.434998,-1.008939,-1.008670,-0.014167,-0.013188
0.439998,-1.009011,-1.008723,-0.014522,-0.013572
0.444998,-1.009084,-1.008805,-0.014764,-0.013819
0.449998,-1.009159,-1.008861,-0.015092,-0.013992
0.454998,-1.009236,-1.008946,-0.015758,-0.014714
0.459998,-1.009318,-1.009005,-0.016544,-0.015314
0.464998,-1.009403,-1.009100,-0.017255,-0.016255
0.469997,-1.009491,-1.009165,-0.017745,-0.016828
0.474997,-1.009579,-1.009266,-0.017667,-0.016872
0.479997,-1.009667,-1.009334,-0.017594,-0.016888
0.484997,-1.009754,-1.009434,-0.017178,-0.016387
0.489997,-1.009839,-1.009500,-0.016800,-0.016174
0.494997,-1.009921,-1.009595,-0.016058,-0.015318
0.499997,-1.009999,-1.009656,-0.015435,-0.014745
0.504997,-1.010076,-1.009744,-0.015261,-0.014508
0.509997,-1.010151,-1.009802,-0.014801,-0.014276
0.514997,-1.010222,-1.009885,-0.013911,-0.013229
0.519997,-1.010290,-1.009937,-0.013429,-0.012789
0.524997,-1.010355,-1.010013,-0.012574,-0.011872
0.529997,-1.010417,-1.010059,-0.012297,-0.011436
0.534997,-1.010478,-1.010128,-0.012211,-0.011391
0.539997,-1.010537,-1.010173,-0.011405,-0.010779
0.544997,-1.010591,-1.010235,-0.010328,-0.009528
0.549996,-1.010639,-1.010273,-0.009096,-0.008605
0.554996,-1.010681,-1.010321,-0.007943,-0.007124
0.559996,-1.010717,-1.010349,-0.006856,-0.006290
0.564996,-1.010749,-1.010384,-0.005988,-0.005208
0.569996,-1.010778,-1.010404,-0.005964,-0.004966
0.574996,-1.010808,-1.010435,-0.006016,-0.005122
0.579996,-1.010838,-1.010455,-0.005732,-0.004891
0.584996,-1.010864,-1.010483,-0.004961,-0.004043
0.589996,-1.010886,-1.010499,-0.004336,-0.003400
0.594996,-1.010908,-1.010519,-0.004180,-0.003221
0.599996,-1.010928,-1.010531,-0.003978,-0.002987
0.604996,-1.010948,-1.010550,-0.004135,-0.003161
0.609996,-1.010970,-1.010563,-0.004562,-0.003492
0.614996,-1.010993,-1.010584,-0.004705,-0.003740
0.619996,-1.011017,-1.010599,-0.004784,-0.003789
0.624996,-1.011040,-1.010622,-0.004528,-0.003621
0.629995,-1.011063,-1.010637,-0.004705,-0.003713
0.634995,-1.011087,-1.010660,-0.004900,-0.004096
0.639995,-1.011112,-1.010676,-0.005079,-0.004192
0.644995,-1.011137,-1.010701,-0.004854,-0.004062
0.649995,-1.011160,-1.010717,-0.004517,-0.003756
0.654995,-1.011182,-1.010739,-0.004185,-0.003395
0.659995,-1.011201,-1.010752,-0.003572,-0.002927
0.664995,-1.011217,-1.010768,-0.002923,-0.002127
0.669995,-1.011231,-1.010777,-0.002605,-0.001919
0.674995,-1.011242,-1.010787,-0.001934,-0.001124
0.679995,-1.011250,-1.010791,-0.001369,-0.000652
0.684995,-1.011255,-1.010794,-0.000755,0.000121
0.689995,-1.011256,-1.010793,0.000025,0.000637
0.694995,-1.011253,-1.010787,0.000911,0.001771
0.699995,-1.011246,-1.010779,0.001874,0.002585
0.704994,-1.011236,-1.010762,0.002047,0.002923
0.709994,-1.011226,-1.010750,0.001933,0.002808
0.714994,-1.011216,-1.010733,0.002190,0.002974
0.719994,-1.011204,-1.010721,0.002311,0.003190
0.724994,-1.011193,-1.010702,0.001841,0.002747
0.729994,-1.011186,-1.010692,0.001438,0.002399
0.734994,-1.011179,-1.010678,0.001246,0.002123
0.739994,-1.011173,-1.010670,0.001156,0.002010
0.744994,-1.011167,-1.010658,0.001220,0.002002
0.749994,-1.011161,-1.010649,0.001163,0.001997
0.754994,-1.011155,-1.010638,0.001212,0.001966
0.759994,-1.011149,-1.010630,0.001281,0.002126
0.764994,-1.011143,-1.010617,0.000958,0.001825
0.769994,-1.011139,-1.010610,0.000878,0.001755
0.774994,-1.011134,-1.010599,0.000885,0.001799
0.779994,-1.011131,-1.010592,0.000427,0.001460
0.784993,-1.011130,-1.010585,-0.000020,0.000916
0.789993,-1.011132,-1.010581,-0.000612,0.000561
0.794993,-1.011137,-1.010579,-0.001142,-0.000074
0.799993,-1.011143,-1.010580,-0.001190,-0.000191
0.804993,-1.011148,-1.010581,-0.000987,0.000107
0.809993,-1.011153,-1.010580,-0.000962,0.000173
0.814993,-1.011156,-1.010579,-0.000352,0.000648
0.819993,-1.011155,-1.010575,0.000724,0.001451
0.824993,-1.011149,-1.010564,0.001427,0.002564
0.829993,-1.011140,-1.010553,0.002095,0.003086
0.834993,-1.011127,-1.010532,0.002848,0.003993
0.839993,-1.011112,-1.010516,0.003262,0.004294
0.844993,-1.011093,-1.010489,0.004088,0.005214
0.849993,-1.011069,-1.010467,0.005143,0.006125
0.854993,-1.011041,-1.010428,0.006044,0.007172
0.859993,-1.011009,-1.010399,0.006653,0.007693
0.864992,-1.010974,-1.010351,0.007405,0.008602
0.869992,-1.010933,-1.010316,0.008397,0.009555
0.874992,-1.010888,-1.010257,0.009460,0.010726
0.879992,-1.010837,-1.010213,0.010796,0.011764
0.884992,-1.010779,-1.010139,0.012142,0.013362
0.889992,-1.010715,-1.010085,0.013018,0.014184
0.894992,-1.010647,-1.009998,0.013977,0.015289
0.899992,-1.010575,-1.009936,0.014813,0.016069
0.904992,-1.010499,-1.009837,0.015516,0.017034
0.909992,-1.010421,-1.009769,0.015629,0.017239
0.914992,-1.010343,-1.009666,0.015348,0.016989
0.919992,-1.010267,-1.009598,0.015334,0.017040
0.924992,-1.010190,-1.009496,0.015160,0.016889
0.929992,-1.010115,-1.009429,0.014955,0.016671
0.934992,-1.010040,-1.009329,0.015145,0.016756
0.939991,-1.009964,-1.009262,0.015410,0.017026
