time, Quad.Pos.Z, Quad.Est.Z, Quad.Vel.Z, Quad.Est.VZ
0.005000,-1.000001,-1.000000,-0.000347,0.000000
0.010000,-1.000004,-1.000000,-0.000962,0.000000
0.015000,-1.000012,-1.000000,-0.001678,0.000000
0.020000,-1.000023,-1.000000,-0.002636,0.000000
0.025000,-1.000040,-1.000000,-0.003907,0.000000
0.030000,-1.000064,-1.000000,-0.005692,0.000000
0.035000,-1.000099,-1.000000,-0.007408,0.000000
0.040000,-1.000139,-1.000000,-0.008308,0.000000
0.045000,-1.000183,-1.000000,-0.009425,0.000000
0.050000,-1.000235,-1.000000,-0.010766,0.000000
0.055000,-1.000291,-1.000000,-0.011686,0.000000
0.060000,-1.000352,-1.000000,-0.012465,0.000000
0.065000,-1.000416,-1.000000,-0.012920,0.000000
0.070000,-1.000481,-1.000000,-0.013109,0.000000
0.075000,-1.000547,-1.000000,-0.013428,0.000000
0.080000,-1.000616,-1.000000,-0.014199,0.000000
0.085000,-1.000692,-1.000000,-0.015568,0.000000
0.090000,-1.000773,-1.000000,-0.016618,0.000000
0.095000,-1.000858,-1.000000,-0.017456,0.000000
0.100000,-1.000948,-1.000000,-0.018240,0.000000
0.105000,-1.001042,-1.000000,-0.019281,0.000000
0.110000,-1.001142,-1.000000,-0.020325,0.000000
0.115000,-1.001245,-1.000000,-0.021003,0.000000
0.120000,-1.001351,-1.000000,-0.021279,0.000000
0.125000,-1.001458,-1.000000,-0.021610,0.000000
0.130000,-1.001568,-1.000000,-0.022368,0.000000
0.135000,-1.001683,-1.000000,-0.023219,0.000000
0.140000,-1.001801,-1.000000,-0.024068,0.000000
0.145000,-1.001924,-1.000000,-0.024815,0.000000
0.150000,-1.002050,-1.000000,-0.025505,0.000000
0.155000,-1.002179,-1.000000,-0.025688,0.000000
0.160000,-1.002308,-1.000000,-0.025866,0.000000
0.165000,-1.002438,-1.000000,-0.026158,0.000000
0.170000,-1.002569,-1.000000,-0.026331,0.000000
0.175000,-1.002701,-1.000000,-0.026431,0.000000
0.180000,-1.002834,-1.000000,-0.026632,0.000000
0.185000,-1.002968,-1.000000,-0.027149,0.000000
0.190000,-1.003105,-1.000000,-0.027339,0.000000
0.195000,-1.003240,-1.000000,-0.026724,0.000000
0.200000,-1.003373,-1.000000,-0.026674,0.000000
0.205000,-1.003507,-1.000000,-0.026954,0.000000
0.210000,-1.003643,-1.000000,-0.027207,0.000000
0.215000,-1.003778,-1.000000,-0.026976,0.000000
0.220000,-1.003913,-1.000000,-0.026884,0.000000
0.225000,-1.004047,-1.000000,-0.026932,0.000000
0.230000,-1.004183,-1.000000,-0.027182,0.000000
0.235000,-1.004320,-1.000000,-0.027689,0.000000
0.240000,-1.004461,-1.000000,-0.028580,0.000000
0.245000,-1.004606,-1.000000,-0.029026,0.000000
0.250000,-1.004751,-1.000000,-0.029230,0.000000
0.255000,-1.004897,-1.000000,-0.029176,0.000000
0.260000,-1.005042,-1.000000,-0.028758,0.000000
0.265000,-1.005185,-1.000000,-0.028521,0.000000
0.270000,-1.005327,-1.000000,-0.028403,0.000000
0.275000,-1.005469,-1.000000,-0.028415,0.000000
0.280000,-1.005611,-1.000000,-0.028480,0.000000
0.285000,-1.005754,-1.000000,-0.028449,0.000000
0.290000,-1.005897,-1.000000,-0.028725,0.000000
0.295000,-1.006040,-1.000000,-0.028685,0.000000
0.300000,-1.006183,-1.000000,-0.028368,0.000000
0.305000,-1.006323,-1.000000,-0.027813,0.000000
0.310000,-1.006460,-1.000000,-0.027162,0.000000
0.314999,-1.006593,-1.000000,-0.025999,0.000000
0.319999,-1.006719,-1.000000,-0.024893,0.000000
0.324999,-1.006842,-1.000000,-0.024373,0.000000
0.329999,-1.006963,-1.000000,-0.024093,0.000000
0.334999,-1.007083,-1.000000,-0.024060,0.000000
0.339999,-1.007203,-1.000000,-0.023821,0.000000
0.344999,-1.007321,-1.000000,-0.023309,0.000000
0.349999,-1.007434,-1.000000,-0.022472,0.000000
0.354999,-1.007544,-1.000000,-0.021575,0.000000
0.359999,-1.007649,-1.000000,-0.020732,0.000000
0.364999,-1.007752,-1.000000,-0.020247,0.000000
0.369999,-1.007851,-1.000000,-0.019847,0.000000
0.374999,-1.007950,-1.000000,-0.019449,0.000000
0.379999,-1.008046,-1.000000,-0.019098,0.000000
0.384999,-1.008139,-1.000000,-0.018522,0.000000
0.389999,-1.008231,-1.000000,-0.018197,0.000000
0.394998,-1.008322,-1.000000,-0.018016,0.000000
0.399998,-1.008411,-1.000000,-0.017716,0.000000
0.404998,-1.008498,-1.000000,-0.017050,0.000000
0.409998,-1.008580,-1.000000,-0.016038,0.000000
0.414998,-1.008658,-1.000000,-0.015252,0.000000
0.419998,-1.008731,-1.000000,-0.014350,0.000000
0.424998,-1.008801,-1.000000,-0.013806,0.000000
0.429998,-1.008870,-1.000000,-0.013605,0.000000
0.434998,-1.008939,-1.000000,-0.014167,0.000000
0.439998,-1.009011,-1.000000,-0.014522,0.000000
0.444998,-1.009084,-1.000000,-0.014764,0.000000
0.449998,-1.009159,-1.000000,-0.015092,0.000000
0.454998,-1.009236,-1.000000,-0.015758,0.000000
0.459998,-1.009318,-1.000000,-0.016544,0.000000
0.464998,-1.009403,-1.000000,-0.017255,0.000000
0.469997,-1.009491,-1.000000,-0.017745,0.000000
0.474997,-1.009579,-1.000000,-0.017667,0.000000
0.479997,-1.009667,-1.000000,-0.017594,0.000000
0.484997,-1.009754,-1.000000,-0.017178,0.000000
0.489997,-1.009839,-1.000000,-0.016800,0.000000
0.494997,-1.009921,-1.000000,-0.016058,0.000000
0.499997,-1.009999,-1.000000,-0.015435,0.000000
0.504997,-1.010076,-1.000000,-0.015261,0.000000
0.509997,-1.010151,-1.000000,-0.014801,0.000000
0.514997,-1.010222,-1.000000,-0.013911,0.000000
0.519997,-1.010290,-1.000000,-0.013429,0.000000
0.524997,-1.010355,-1.000000,-0.012574,0.000000
0.529997,-1.010417,-1.000000,-0.012297,0.000000
0.534997,-1.010478,-1.000000,-0.012211,0.000000
0.539997,-1.010537,-1.000000,-0.011405,0.000000
0.544997,-1.010591,-1.000000,-0.010328,0.000000
0.549996,-1.010639,-1.000000,-0.009096,0.000000
0.554996,-1.010681,-1.000000,-0.007943,0.000000
0.559996,-1.010717,-1.000000,-0.006856,0.000000
0.564996,-1.010749,-1.000000,-0.005988,0.000000
0.569996,-1.010778,-1.000000,-0.005964,0.000000
0.574996,-1.010808,-1.000000,-0.006016,0.000000
0.579996,-1.010838,-1.000000,-0.005732,0.000000
0.584996,-1.010864,-1.000000,-0.004961,0.000000
0.589996,-1.010886,-1.000000,-0.004336,0.000000
0.594996,-1.010908,-1.000000,-0.004180,0.000000
0.599996,-1.010928,-1.000000,-0.003978,0.000000
0.604996,-1.010948,-1.000000,-0.004135,0.000000
0.609996,-1.010970,-1.000000,-0.004562,0.000000
0.614996,-1.010993,-1.000000,-0.004705,0.000000
0.619996,-1.011017,-1.000000,-0.004784,0.000000
0.624996,-1.011040,-1.000000,-0.004528,0.000000
0.629995,-1.011063,-1.000000,-0.004705,0.000000
0.634995,-1.011087,-1.000000,-0.004900,0.000000
0.639995,-1.011112,-1.000000,-0.005079,0.000000
0.644995,-1.011137,-1.000000,-0.004854,0.000000
0.649995,-1.011160,-1.000000,-0.004517,0.000000
0.654995,-1.011182,-1.000000,-0.004185,0.000000
0.659995,-1.011201,-1.000000,-0.003572,0.000000
0.664995,-1.011217,-1.000000,-0.002923,0.000000
0.669995,-1.011231,-1.000000,-0.002605,0.000000
0.674995,-1.011242,-1.000000,-0.001934,0.000000
0.679995,-1.011250,-1.000000,-0.001369,0.000000
