time, Quad1.Est.E.X, Quad2.Est.E.X, Quad3.Est.E.X, Quad4.Est.E.X, Quad5.Est.E.X, Quad6.Est.E.X, Quad7.Est.E.X, Quad8.Est.E.X, Quad9.Est.E.X, Quad10.Est.E.X, Quad1.Est.S.X, Quad1.Est.S.X
0.005000,-0.000002,0.000006,0.000002,0.000006,0.000005,-0.000004,0.000010,0.000003,-0.000003,0.000007,0.100077,-0.100077
0.010000,0.000007,0.000017,0.000010,0.000011,0.000013,-0.000005,0.000019,0.000000,-0.000004,0.000018,0.100130,-0.100130
0.015000,0.000018,0.000027,0.000026,0.000020,0.000033,-0.000008,0.000018,-0.000013,-0.000005,0.000026,0.100213,-0.100213
0.020000,0.000013,0.000037,0.000035,0.000032,0.000050,-0.000015,0.000011,-0.000025,-0.000006,0.000037,0.100270,-0.100270
0.025000,0.000008,0.000062,0.000051,0.000053,0.000069,-0.000037,-0.000004,-0.000040,-0.000007,0.000059,0.100359,-0.100359
0.030000,0.000004,0.000083,0.000064,0.000068,0.000080,-0.000050,-0.000017,-0.000057,-0.000006,0.000070,0.100421,-0.100421
0.035000,-0.000016,0.000107,0.000085,0.000092,0.000093,-0.000081,-0.000038,-0.000085,-0.000008,0.000082,0.100516,-0.100516
0.040000,-0.000029,0.000115,0.000105,0.000111,0.000092,-0.000107,-0.000059,-0.000091,-0.000021,0.000084,0.100582,-0.100582
0.045000,-0.000045,0.000124,0.000144,0.000135,0.000096,-0.000154,-0.000088,-0.000084,-0.000050,0.000097,0.100685,-0.100685
0.050000,-0.000051,0.000114,0.000173,0.000149,0.000095,-0.000188,-0.000111,-0.000078,-0.000065,0.000115,0.100755,-0.100755
0.055000,-0.000080,0.000084,0.000209,0.000179,0.000092,-0.000240,-0.000145,-0.000071,-0.000099,0.000146,0.100864,-0.100864
0.060000,-0.000100,0.000066,0.000230,0.000192,0.000086,-0.000277,-0.000173,-0.000067,-0.000117,0.000162,0.100939,-0.100939
0.065000,-0.000134,0.000039,0.000269,0.000208,0.000074,-0.000345,-0.000222,-0.000057,-0.000139,0.000182,0.101056,-0.101056
0.070000,-0.000158,0.000027,0.000303,0.000224,0.000077,-0.000395,-0.000254,-0.000043,-0.000146,0.000198,0.101135,-0.101135
0.075000,-0.000180,0.000024,0.000355,0.000259,0.000085,-0.000474,-0.000305,-0.000012,-0.000157,0.000210,0.101259,-0.101259
