time, Quad.MagYaw, Quad.Est.Yaw, Quad.Yaw
0.005000,nan,0.000262,0.000000
0.010000,0.169616,0.036314,0.000003
0.015000,nan,0.034259,0.000003
0.020000,-0.175517,-0.004589,-0.000001
0.025000,nan,-0.004450,-0.000012
0.030000,-0.000679,-0.004476,-0.000025
0.035000,nan,-0.006142,-0.000037
0.040000,0.021182,-0.002174,-0.000048
0.045000,nan,-0.001502,-0.000058
0.050000,0.017049,-0.000013,-0.000065
0.055000,nan,0.001715,-0.000065
0.060000,-0.127868,-0.014448,-0.000055
0.065000,nan,-0.017290,-0.000038
0.070000,0.030597,-0.011961,-0.000010
0.075000,nan,-0.009801,0.000028
0.080000,0.147546,0.005813,0.000072
0.085000,nan,0.009427,0.000113
0.090000,0.147444,0.024038,0.000148
0.095000,nan,0.023248,0.000179
0.100000,0.084098,0.028228,0.000208
0.105000,nan,0.028311,0.000236
0.110000,-0.057431,0.018943,0.000266
0.115000,nan,0.019247,0.000297
0.120000,-0.058354,0.012921,0.000331
0.125000,nan,0.014720,0.000370
0.130000,0.051015,0.018307,0.000411
0.135000,nan,0.015159,0.000459
0.140000,0.103486,0.023895,0.000510
0.145000,nan,0.021957,0.000557
0.150000,0.022611,0.021356,0.000600
0.155000,nan,0.018519,0.000636
0.160000,-0.116193,0.007834,0.000663
0.165000,nan,0.007375,0.000685
0.170000,0.059458,0.012838,0.000702
0.175000,nan,0.012522,0.000715
0.180000,0.106457,0.019803,0.000726
0.185000,nan,0.016800,0.000736
0.190000,0.013622,0.014665,0.000748
0.195000,nan,0.014069,0.000761
0.200000,-0.080815,0.006810,0.000776
0.205000,nan,0.006993,0.000795
0.210000,-0.103472,-0.001728,0.000816
0.215000,nan,-0.002890,0.000839
0.220000,-0.043954,-0.007035,0.000864
0.225000,nan,-0.004955,0.000892
0.230000,0.067391,0.001250,0.000922
0.235000,nan,0.002711,0.000955
0.240000,-0.146675,-0.008673,0.000987
0.245000,nan,-0.005865,0.001018
0.250000,0.045635,-0.001365,0.001043
0.255000,nan,-0.006637,0.001063
0.260000,0.204369,0.007809,0.001080
0.265000,nan,0.009722,0.001095
0.270000,-0.025255,0.010117,0.001104
0.275000,nan,0.010757,0.001111
0.280000,-0.075432,0.004557,0.001116
0.285000,nan,0.004323,0.001119
0.290000,-0.021719,0.002334,0.001122
0.295000,nan,0.002610,0.001123
0.300000,-0.036087,0.000856,0.001123
0.305000,nan,0.003188,0.001121
0.310000,-0.126742,-0.007315,0.001118
0.314999,nan,-0.006653,0.001113
0.319999,0.147123,0.006000,0.001109
0.324999,nan,0.007518,0.001106
0.329999,0.074713,0.011360,0.001102
0.334999,nan,0.012664,0.001100
0.339999,0.051199,0.015463,0.001100
0.344999,nan,0.015114,0.001102
0.349999,0.003309,0.013001,0.001102
0.354999,nan,0.012143,0.001099
0.359999,-0.061950,0.006936,0.001096
0.364999,nan,0.006048,0.001095
0.369999,-0.049627,0.003070,0.001093
0.374999,nan,0.001516,0.001091
0.379999,0.202536,0.017005,0.001092
0.384999,nan,0.015844,0.001094
0.389999,0.019378,0.018850,0.001095
0.394998,nan,0.015588,0.001097
0.399998,0.076898,0.017163,0.001096
0.404998,nan,0.019696,0.001093
0.409998,-0.046863,0.015484,0.001086
0.414998,nan,0.017340,0.001071
0.419998,-0.010226,0.013942,0.001051
0.424998,nan,0.014926,0.001024
0.429998,-0.265696,-0.007273,0.000993
0.434998,nan,-0.008768,0.000962
0.439998,0.013741,-0.006326,0.000932
0.444998,nan,-0.006088,0.000907
0.449998,-0.147672,-0.017211,0.000887
0.454998,nan,-0.019586,0.000868
0.459998,0.033780,-0.016191,0.000849
0.464998,nan,-0.017236,0.000826
0.469997,0.221566,0.004002,0.000799
0.474997,nan,0.006868,0.000772
0.479997,-0.311536,-0.017428,0.000750
0.484997,nan,-0.016463,0.000736
0.489997,0.074788,-0.008493,0.000730
0.494997,nan,-0.005311,0.000732
0.499997,-0.151625,-0.016284,0.000745
0.504997,nan,-0.017272,0.000764
0.509997,0.178052,-0.003452,0.000789
0.514997,nan,-0.005839,0.000817
0.519997,-0.006686,-0.007459,0.000848
0.524997,nan,-0.008722,0.000878
0.529997,-0.008022,-0.008033,0.000906
0.534997,nan,-0.006732,0.000928
0.539997,0.062425,0.000098,0.000941
0.544997,nan,-0.000768,0.000948
0.549996,0.141188,0.009765,0.000954
0.554996,nan,0.007608,0.000962
0.559996,-0.095576,-0.000642,0.000964
0.564996,nan,-0.000680,0.000957
0.569996,0.162115,0.013124,0.000940
0.574996,nan,0.015942,0.000916
0.579996,0.001556,0.014356,0.000889
0.584996,nan,0.013082,0.000864
0.589996,0.020959,0.012842,0.000841
0.594996,nan,0.010723,0.000824
0.599996,0.099772,0.018726,0.000811
0.604996,nan,0.018244,0.000802
0.609996,0.033553,0.020558,0.000793
0.614996,nan,0.020506,0.000784
0.619996,-0.166862,0.003566,0.000773
0.624996,nan,0.001398,0.000758
0.629995,-0.136347,-0.010104,0.000745
0.634995,nan,-0.012092,0.000736
0.639995,0.034918,-0.009813,0.000732
0.644995,nan,-0.009713,0.000733
0.649995,-0.030060,-0.014735,0.000739
0.654995,nan,-0.015116,0.000751
0.659995,-0.012614,-0.012907,0.000765
0.664995,nan,-0.010893,0.000778
0.669995,0.072951,-0.004755,0.000795
0.674995,nan,-0.007457,0.000818
0.679995,-0.130327,-0.015978,0.000847
0.684995,nan,-0.015843,0.000880
0.689995,0.101938,-0.007595,0.000917
0.694995,nan,-0.007025,0.000953
0.699995,0.270153,0.013153,0.000985
0.704994,nan,0.015585,0.001015
0.709994,0.050722,0.017684,0.001041
0.714994,nan,0.018137,0.001061
0.719994,-0.132346,0.007208,0.001073
0.724994,nan,0.008748,0.001079
0.729994,-0.042390,0.001003,0.001081
0.734994,nan,0.004666,0.001078
0.739994,0.049419,0.007604,0.001074
0.744994,nan,0.006724,0.001069
0.749994,-0.007764,0.006472,0.001064
0.754994,nan,0.008955,0.001063
0.759994,-0.002654,0.007306,0.001067
0.764994,nan,0.007003,0.001072
0.769994,0.039460,0.011438,0.001076
0.774994,nan,0.012329,0.001077
0.779994,-0.013870,0.011042,0.001081
0.784993,nan,0.009147,0.001089
0.789993,-0.042846,0.003537,0.001103
0.794993,nan,0.004407,0.001124
0.799993,-0.129387,-0.005481,0.001148
0.804993,nan,-0.003170,0.001168
0.809993,0.000501,-0.001484,0.001184
0.814993,nan,-0.003282,0.001195
0.819993,-0.167795,-0.017970,0.001203
0.824993,nan,-0.014184,0.001202
0.829993,-0.146115,-0.025944,0.001195
0.834993,nan,-0.028893,0.001184
0.839993,-0.042489,-0.029265,0.001171
0.844993,nan,-0.029693,0.001157
0.849993,-0.070232,-0.036230,0.001145
0.854993,nan,-0.035825,0.001132
0.859993,0.023464,-0.031067,0.001117
0.864992,nan,-0.032637,0.001099
0.869992,-0.038050,-0.033297,0.001084
0.874992,nan,-0.032649,0.001071
0.879992,-0.079228,-0.037367,0.001057
0.884992,nan,-0.038559,0.001042
0.889992,-0.075649,-0.040768,0.001020
0.894992,nan,-0.042331,0.000992
0.899992,-0.071454,-0.045481,0.000957
0.904992,nan,-0.043367,0.000918
0.909992,-0.003691,-0.042170,0.000873
0.914992,nan,-0.043159,0.000819
0.919992,0.146445,-0.028921,0.000758
0.924992,nan,-0.029895,0.000693
0.929992,0.222886,-0.012612,0.000621
0.934992,nan,-0.012413,0.000547
0.939991,-0.079576,-0.018706,0.000473
0.944991,nan,-0.019919,0.000404
0.949991,0.044566,-0.014294,0.000342
0.954991,nan,-0.011481,0.000291
0.959991,0.024596,-0.008037,0.000254
0.964991,nan,-0.008627,0.000229
0.969991,-0.015789,-0.009237,0.000213
0.974991,nan,-0.010787,0.000203
0.979991,0.021843,-0.007245,0.000200
0.984991,nan,-0.005108,0.000201
0.989991,0.006897,-0.004395,0.000203
0.994991,nan,-0.003953,0.000207
0.999991,-0.060268,-0.007416,0.000212
1.004991,nan,-0.006781,0.000218
1.009991,-0.051965,-0.011912,0.000223
1.014991,nan,-0.010688,0.000228
1.019992,0.090581,-0.005888,0.000232
1.024992,nan,-0.005845,0.000237
1.029992,-0.067277,-0.011017,0.000241
1.034992,nan,-0.010692,0.000246
1.039993,0.137236,0.001559,0.000252
1.044993,nan,0.000207,0.000255
1.049993,0.058236,0.005415,0.000255
1.054993,nan,0.007472,0.000254
1.059994,0.169603,0.019552,0.000248
1.064994,nan,0.021183,0.000238
1.069994,-0.002261,0.019912,0.000229
1.074994,nan,0.021441,0.000220
1.079994,0.065253,0.026194,0.000212
1.084995,nan,0.028938,0.000202
1.089995,-0.048431,0.021902,0.000190
1.094995,nan,0.018664,0.000177
1.099995,0.068222,0.024912,0.000158
1.104996,nan,0.026332,0.000136
1.109996,-0.031826,0.021582,0.000110
1.114996,nan,0.020719,0.000081
1.119996,-0.000380,0.019168,0.000050
1.124997,nan,0.020805,0.000014
1.129997,0.049510,0.023815,-0.000022
1.134997,nan,0.024091,-0.000058
1.139997,0.171036,0.034607,-0.000094
1.144997,nan,0.039048,-0.000129
1.149998,0.094300,0.044248,-0.000163
1.154998,nan,0.046483,-0.000198
1.159998,-0.018654,0.043393,-0.000230
1.164998,nan,0.043209,-0.000255
1.169999,-0.148484,0.027607,-0.000275
1.174999,nan,0.028185,-0.000287
1.179999,-0.028499,0.024443,-0.000295
1.184999,nan,0.024128,-0.000302
1.190000,0.034488,0.025683,-0.000304
1.195000,nan,0.025518,-0.000305
1.200000,-0.154404,0.012647,-0.000304
1.205000,nan,0.011162,-0.000303
1.210001,-0.116631,0.001440,-0.000296
1.215001,nan,-0.000665,-0.000282
1.220001,0.091105,0.007263,-0.000264
1.225001,nan,0.008332,-0.000247
1.230001,-0.123019,-0.002096,-0.000230
1.235002,nan,-0.002530,-0.000214
1.240002,-0.151749,-0.013572,-0.000199
1.245002,nan,-0.014890,-0.000188
1.250002,-0.129473,-0.025792,-0.000180
1.255003,nan,-0.025223,-0.000174
1.260003,0.146262,-0.012586,-0.000173
1.265003,nan,-0.011194,-0.000179
1.270003,0.039217,-0.004085,-0.000191
1.275004,nan,-0.004035,-0.000206
1.280004,0.102348,0.002848,-0.000224
1.285004,nan,-0.000103,-0.000243
1.290004,-0.152929,-0.011229,-0.000263
1.295004,nan,-0.010146,-0.000284
1.300005,-0.072775,-0.015690,-0.000307
1.305005,nan,-0.017034,-0.000330
1.310005,-0.041471,-0.016394,-0.000348
1.315005,nan,-0.018277,-0.000363
1.320006,-0.035985,-0.018447,-0.000380
1.325006,nan,-0.020819,-0.000398
1.330006,0.108271,-0.010939,-0.000410
1.335006,nan,-0.010016,-0.000418
1.340007,-0.037568,-0.012559,-0.000428
1.345007,nan,-0.014540,-0.000441
1.350007,0.043505,-0.007279,-0.000452
1.355007,nan,-0.005058,-0.000461
1.360008,0.100242,0.002949,-0.000473
1.365008,nan,0.002010,-0.000484
1.370008,0.029677,0.005510,-0.000490
1.375008,nan,0.007629,-0.000494
1.380008,0.125209,0.016387,-0.000498
1.385009,nan,0.019071,-0.000504
1.390009,-0.039867,0.014886,-0.000506
1.395009,nan,0.014730,-0.000505
1.400009,0.095839,0.019779,-0.000499
1.405010,nan,0.017894,-0.000488
1.410010,0.014807,0.016576,-0.000475
1.415010,nan,0.015442,-0.000463
1.420010,-0.071201,0.008724,-0.000449
1.425011,nan,0.011328,-0.000435
1.430011,-0.084925,0.004444,-0.000424
1.435011,nan,0.004008,-0.000416
1.440011,-0.111941,-0.004240,-0.000405
1.445011,nan,-0.003202,-0.000389
1.450012,-0.003097,-0.004013,-0.000371
1.455012,nan,-0.000913,-0.000355
1.460012,-0.093937,-0.008846,-0.000339
1.465012,nan,-0.008732,-0.000320
1.470013,-0.065001,-0.012971,-0.000298
1.475013,nan,-0.016119,-0.000269
1.480013,0.027504,-0.013132,-0.000236
1.485013,nan,-0.014117,-0.000199
1.490014,0.234085,0.006923,-0.000156
1.495014,nan,0.007908,-0.000108
1.500014,0.039476,0.009216,-0.000058
1.505014,nan,0.010939,-0.000008
1.510015,0.131552,0.021345,0.000041
1.515015,nan,0.023188,0.000088
1.520015,0.004509,0.023597,0.000134
1.525015,nan,0.024060,0.000181
1.530015,0.033867,0.023401,0.000229
1.535016,nan,0.026927,0.000281
1.540016,-0.131178,0.014058,0.000333
1.545016,nan,0.015230,0.000384
1.550016,-0.081268,0.006553,0.000436
1.555017,nan,0.006667,0.000489
1.560017,0.012536,0.006378,0.000539
1.565017,nan,0.007999,0.000584
1.570017,-0.088046,0.003532,0.000624
1.575018,nan,0.005352,0.000658
1.580018,0.195418,0.022433,0.000684
1.585018,nan,0.023004,0.000705
1.590018,-0.186705,0.008886,0.000720
1.595019,nan,0.009916,0.000730
1.600019,-0.064669,0.004180,0.000741
1.605019,nan,0.002727,0.000756
1.610019,-0.063662,-0.002808,0.000774
1.615019,nan,-0.001690,0.000794
1.620020,-0.022933,-0.003744,0.000814
1.625020,nan,-0.004144,0.000833
1.630020,-0.010695,-0.006289,0.000850
1.635020,nan,-0.007545,0.000872
1.640021,0.007204,-0.005297,0.000896
1.645021,nan,-0.005777,0.000922
1.650021,-0.121570,-0.016283,0.000952
1.655021,nan,-0.017902,0.000986
1.660022,0.023845,-0.016530,0.001027
1.665022,nan,-0.016662,0.001074
1.670022,0.125927,-0.004583,0.001120
1.675022,nan,-0.008368,0.001165
1.680022,0.084538,0.000500,0.001207
1.685023,nan,0.001046,0.001241
1.690023,-0.079570,-0.004684,0.001267
1.695023,nan,-0.003306,0.001289
1.700023,0.033014,-0.001963,0.001313
1.705024,nan,0.002463,0.001342
1.710024,-0.117258,-0.005922,0.001375
1.715024,nan,-0.003542,0.001411
1.720024,0.040982,-0.001303,0.001448
1.725025,nan,-0.002247,0.001484
1.730025,-0.009304,-0.002349,0.001516
1.735025,nan,-0.004197,0.001544
1.740025,-0.135302,-0.013937,0.001569
1.745026,nan,-0.011167,0.001588
1.750026,-0.175394,-0.023343,0.001598
1.755026,nan,-0.021939,0.001599
1.760026,0.078969,-0.014669,0.001598
1.765026,nan,-0.016732,0.001596
1.770027,-0.101124,-0.022947,0.001594
1.775027,nan,-0.024593,0.001595
1.780027,-0.053603,-0.028178,0.001600
1.785027,nan,-0.029509,0.001605
1.790028,0.150801,-0.016755,0.001608
1.795028,nan,-0.016112,0.001606
1.800028,-0.058095,-0.020574,0.001602
1.805028,nan,-0.018248,0.001593
1.810029,-0.078375,-0.023743,0.001576
1.815029,nan,-0.025048,0.001558
1.820029,0.024697,-0.020720,0.001540
1.825029,nan,-0.023125,0.001522
1.830029,-0.045768,-0.025966,0.001505
1.835030,nan,-0.023368,0.001485
1.840030,0.146412,-0.008183,0.001460
1.845030,nan,-0.009140,0.001433
1.850030,0.055151,-0.004253,0.001405
1.855031,nan,-0.003328,0.001379
1.860031,-0.038779,-0.005460,0.001354
1.865031,nan,-0.006351,0.001331
1.870031,-0.036814,-0.007489,0.001311
1.875032,nan,-0.008646,0.001292
1.880032,-0.132254,-0.017098,0.001272
1.885032,nan,-0.015377,0.001253
1.890032,-0.092333,-0.023365,0.001242
1.895033,nan,-0.022097,0.001236
1.900033,0.121262,-0.010225,0.001234
1.905033,nan,-0.010199,0.001235
1.910033,-0.136904,-0.019403,0.001241
1.915033,nan,-0.018624,0.001251
1.920034,-0.047172,-0.021056,0.001262
1.925034,nan,-0.021610,0.001270
1.930034,-0.001571,-0.021071,0.001277
1.935034,nan,-0.024711,0.001283
1.940035,-0.007588,-0.025916,0.001288
1.945035,nan,-0.024164,0.001294
1.950035,0.184716,-0.008223,0.001306
1.955035,nan,-0.006450,0.001322
1.960036,0.182534,0.009514,0.001345
1.965036,nan,0.012875,0.001373
1.970036,-0.048108,0.007225,0.001402
1.975036,nan,0.003493,0.001432
1.980036,-0.103829,-0.003813,0.001465
1.985037,nan,-0.006110,0.001500
1.990037,0.072376,0.002807,0.001534
1.995037,nan,0.000996,0.001565
2.000037,-0.144024,-0.009386,0.001591
2.005037,nan,-0.008924,0.001610
2.010037,-0.054974,-0.013263,0.001626
2.015036,nan,-0.012926,0.001643
2.020036,-0.215423,-0.030249,0.001662
2.025036,nan,-0.029051,0.001683
2.030035,-0.072927,-0.034018,0.001705
2.035035,nan,-0.032202,0.001727
2.040035,-0.065243,-0.033562,0.001748
2.045034,nan,-0.031370,0.001766
2.050034,-0.117050,-0.040526,0.001782
2.055033,nan,-0.040066,0.001793
2.060033,-0.155803,-0.049990,0.001803
2.065033,nan,-0.048983,0.001813
2.070032,0.030031,-0.044187,0.001823
2.075032,nan,-0.046737,0.001831
2.080032,0.009783,-0.044304,0.001838
2.085031,nan,-0.041297,0.001845
2.090031,-0.339167,-0.064744,0.001853
2.095031,nan,-0.066196,0.001859
2.100030,0.162924,-0.050069,0.001865
2.105030,nan,-0.050071,0.001874
2.110029,-0.060638,-0.050087,0.001888
