time, Quad.Est.E.Yaw, Quad.Est.S.Yaw
0.005000,0.000262,0.050383
0.010000,0.036312,0.045175
0.015000,0.034256,0.045598
0.020000,-0.004591,0.041699
0.025000,-0.004440,0.042157
0.030000,-0.004456,0.039082
0.035000,-0.006108,0.039570
0.040000,-0.002130,0.037053
0.045000,-0.001445,0.037568
0.050000,0.000050,0.035446
0.055000,0.001781,0.035983
0.060000,-0.014388,0.034152
0.065000,-0.017248,0.034710
0.070000,-0.011939,0.033100
0.075000,-0.009820,0.033675
0.080000,0.005759,0.032235
0.085000,0.009322,0.032825
0.090000,0.023904,0.031520
0.095000,0.023075,0.032123
0.100000,0.028031,0.030925
0.105000,0.028081,0.031540
0.110000,0.018689,0.030428
0.115000,0.018956,0.031053
0.120000,0.012604,0.030012
0.125000,0.014359,0.030645
0.130000,0.017913,0.029662
0.135000,0.014710,0.030303
0.140000,0.023406,0.029367
0.145000,0.021409,0.030014
0.150000,0.020772,0.029119
0.155000,0.017890,0.029771
0.160000,0.007180,0.028908
0.165000,0.006694,0.029565
0.170000,0.012142,0.028730
0.175000,0.011809,0.029391
0.180000,0.019081,0.028579
0.185000,0.016066,0.029243
0.190000,0.013922,0.028451
0.195000,0.013311,0.029118
0.200000,0.006040,0.028343
0.205000,0.006202,0.029012
0.210000,-0.002536,0.028251
0.215000,-0.003724,0.028922
0.220000,-0.007888,0.028172
0.225000,-0.005841,0.028846
0.230000,0.000340,0.028106
0.235000,0.001763,0.028781
0.240000,-0.009647,0.028049
0.245000,-0.006876,0.028725
0.250000,-0.002398,0.028001
0.255000,-0.007696,0.028678
0.260000,0.006736,0.027960
0.265000,0.008630,0.028638
0.270000,0.009016,0.027925
0.275000,0.009647,0.028604
0.280000,0.003443,0.027895
0.285000,0.003204,0.028575
0.290000,0.001213,0.027870
0.295000,0.001487,0.028550
0.300000,-0.000268,0.027848
0.305000,0.002067,0.028529
0.310000,-0.008434,0.027830
0.314999,-0.007767,0.028511
0.319999,0.004889,0.027814
0.324999,0.006411,0.028496
0.329999,0.010256,0.027801
0.334999,0.011564,0.028483
0.339999,0.014363,0.027790
0.344999,0.014013,0.028472
0.349999,0.011899,0.027780
0.354999,0.011043,0.028463
0.359999,0.005838,0.027772
0.364999,0.004953,0.028455
0.369999,0.001976,0.027765
0.374999,0.000425,0.028448
0.379999,0.015914,0.027759
0.384999,0.014751,0.028442
0.389999,0.017756,0.027754
0.394998,0.014492,0.028437
