time, Quad.MagYaw, Quad.Est.Yaw, Quad.Yaw
0.005000,nan,0.000262,0.000000
0.010000,0.169616,0.002135,0.000003
0.015000,nan,0.000081,0.000003
0.020000,-0.175517,-0.002792,-0.000001
0.025000,nan,-0.002652,-0.000012
0.030000,-0.000679,-0.003363,-0.000025
0.035000,nan,-0.005030,-0.000037
0.040000,0.021182,-0.004778,-0.000048
0.045000,nan,-0.004106,-0.000058
0.050000,0.017049,-0.005069,-0.000065
0.055000,nan,-0.003341,-0.000065
0.060000,-0.127868,-0.004528,-0.000055
0.065000,nan,-0.007370,-0.000038
0.070000,0.030597,-0.007277,-0.000010
0.075000,nan,-0.005117,0.000028
0.080000,0.147546,-0.005938,0.000072
0.085000,nan,-0.002324,0.000113
0.090000,0.147444,-0.001326,0.000148
0.095000,nan,-0.002116,0.000179
0.100000,0.084098,-0.003045,0.000208
0.105000,nan,-0.002961,0.000236
0.110000,-0.057431,-0.004536,0.000266
0.115000,nan,-0.004233,0.000297
0.120000,-0.058354,-0.003503,0.000331
0.125000,nan,-0.001704,0.000370
0.130000,0.051015,-0.001272,0.000411
0.135000,nan,-0.004420,0.000459
0.140000,0.103486,-0.003196,0.000510
0.145000,nan,-0.005134,0.000557
0.150000,0.022611,-0.005852,0.000600
0.155000,nan,-0.008688,0.000636
0.160000,-0.116193,-0.008064,0.000663
0.165000,nan,-0.008523,0.000685
0.170000,0.059458,-0.007254,0.000702
0.175000,nan,-0.007570,0.000715
0.180000,0.106457,-0.007997,0.000726
0.185000,nan,-0.010999,0.000736
0.190000,0.013622,-0.013043,0.000748
0.195000,nan,-0.013639,0.000761
0.200000,-0.080815,-0.013244,0.000776
0.205000,nan,-0.013061,0.000795
0.210000,-0.103472,-0.012957,0.000816
0.215000,nan,-0.014119,0.000839
0.220000,-0.043954,-0.015081,0.000864
0.225000,nan,-0.013002,0.000892
0.230000,0.067391,-0.012469,0.000922
0.235000,nan,-0.011008,0.000955
0.240000,-0.146675,-0.010607,0.000987
0.245000,nan,-0.007800,0.001018
0.250000,0.045635,-0.007298,0.001043
0.255000,nan,-0.012571,0.001063
0.260000,0.204369,-0.014794,0.001080
0.265000,nan,-0.012881,0.001095
0.270000,-0.025255,-0.009494,0.001104
0.275000,nan,-0.008853,0.001111
0.280000,-0.075432,-0.008304,0.001116
0.285000,nan,-0.008539,0.001119
0.290000,-0.021719,-0.008502,0.001122
0.295000,nan,-0.008226,0.001123
0.300000,-0.036087,-0.006874,0.001123
0.305000,nan,-0.004542,0.001121
0.310000,-0.126742,-0.005019,0.001118
0.314999,nan,-0.004357,0.001113
0.319999,0.147123,-0.003537,0.001109
0.324999,nan,-0.002019,0.001106
0.329999,0.074713,-0.003484,0.001102
0.334999,nan,-0.002180,0.001100
0.339999,0.051199,-0.002372,0.001100
0.344999,nan,-0.002720,0.001102
0.349999,0.003309,-0.004023,0.001102
0.354999,nan,-0.004881,0.001099
0.359999,-0.061950,-0.004331,0.001096
0.364999,nan,-0.005219,0.001095
0.369999,-0.049627,-0.003796,0.001093
0.374999,nan,-0.005349,0.001091
0.379999,0.202536,-0.005350,0.001092
0.384999,nan,-0.006511,0.001094
0.389999,0.019378,-0.003549,0.001095
0.394998,nan,-0.006811,0.001097
0.399998,0.076898,-0.010220,0.001096
0.404998,nan,-0.007687,0.001093
0.409998,-0.046863,-0.006699,0.001086
0.414998,nan,-0.004843,0.001071
0.419998,-0.010226,-0.006225,0.001051
0.424998,nan,-0.005241,0.001024
0.429998,-0.265696,-0.005897,0.000993
0.434998,nan,-0.007392,0.000962
0.439998,0.013741,-0.006622,0.000932
0.444998,nan,-0.006384,0.000907
0.449998,-0.147672,-0.006636,0.000887
0.454998,nan,-0.009011,0.000868
0.459998,0.033780,-0.009779,0.000849
0.464998,nan,-0.010824,0.000826
0.469997,0.221566,-0.007713,0.000799
0.474997,nan,-0.004847,0.000772
0.479997,-0.311536,-0.004641,0.000750
0.484997,nan,-0.003677,0.000736
0.489997,0.074788,-0.002643,0.000730
0.494997,nan,0.000538,0.000732
0.499997,-0.151625,0.000839,0.000745
0.504997,nan,-0.000149,0.000764
0.509997,0.178052,-0.001448,0.000789
0.514997,nan,-0.003834,0.000817
0.519997,-0.006686,-0.005519,0.000848
0.524997,nan,-0.006781,0.000878
0.529997,-0.008022,-0.006094,0.000906
0.534997,nan,-0.004792,0.000928
0.539997,0.062425,-0.003153,0.000941
0.544997,nan,-0.004019,0.000948
0.549996,0.141188,-0.004431,0.000954
0.554996,nan,-0.006588,0.000962
0.559996,-0.095576,-0.006932,0.000964
0.564996,nan,-0.006970,0.000957
0.569996,0.162115,-0.005573,0.000940
0.574996,nan,-0.002755,0.000916
0.579996,0.001556,-0.003275,0.000889
0.584996,nan,-0.004549,0.000864
0.589996,0.020959,-0.005465,0.000841
0.594996,nan,-0.007585,0.000824
0.599996,0.099772,-0.006330,0.000811
0.604996,nan,-0.006811,0.000802
0.609996,0.033553,-0.005580,0.000793
0.614996,nan,-0.005632,0.000784
0.619996,-0.166862,-0.008381,0.000773
0.624996,nan,-0.010549,0.000758
0.629995,-0.136347,-0.011538,0.000745
0.634995,nan,-0.013527,0.000736
0.639995,0.034918,-0.014973,0.000732
0.644995,nan,-0.014872,0.000733
0.649995,-0.030060,-0.018618,0.000739
0.654995,nan,-0.019000,0.000751
0.659995,-0.012614,-0.016814,0.000765
0.664995,nan,-0.014800,0.000778
0.669995,0.072951,-0.015133,0.000795
0.674995,nan,-0.017835,0.000818
0.679995,-0.130327,-0.016835,0.000847
0.684995,nan,-0.016699,0.000880
0.689995,0.101938,-0.017571,0.000917
0.694995,nan,-0.017002,0.000953
0.699995,0.270153,-0.018223,0.000985
0.704994,nan,-0.015791,0.001015
0.709994,0.050722,-0.016442,0.001041
0.714994,nan,-0.015990,0.001061
0.719994,-0.132346,-0.015299,0.001073
0.724994,nan,-0.013759,0.001079
0.729994,-0.042390,-0.017891,0.001081
0.734994,nan,-0.014228,0.001078
0.739994,0.049419,-0.014771,0.001074
0.744994,nan,-0.015652,0.001069
0.749994,-0.007764,-0.014718,0.001064
0.754994,nan,-0.012235,0.001063
