time, Quad.Est.E.Yaw, Quad.Est.S.Yaw
0.005000,0.000262,0.050006
0.010000,0.002133,0.050010
0.015000,0.000077,0.050016
0.020000,-0.002793,0.050020
0.025000,-0.002643,0.050026
0.030000,-0.003343,0.050030
0.035000,-0.004995,0.050036
0.040000,-0.004734,0.050040
0.045000,-0.004050,0.050046
0.050000,-0.005006,0.050050
0.055000,-0.003275,0.050056
0.060000,-0.004468,0.050060
0.065000,-0.007328,0.050066
0.070000,-0.007255,0.050070
0.075000,-0.005137,0.050076
0.080000,-0.005992,0.050080
0.085000,-0.002429,0.050086
0.090000,-0.001460,0.050090
0.095000,-0.002289,0.050096
0.100000,-0.003242,0.050100
0.105000,-0.003192,0.050106
0.110000,-0.004790,0.050110
0.115000,-0.004523,0.050116
0.120000,-0.003820,0.050120
0.125000,-0.002065,0.050126
0.130000,-0.001667,0.050130
0.135000,-0.004869,0.050136
0.140000,-0.003686,0.050140
0.145000,-0.005683,0.050146
0.150000,-0.006435,0.050150
0.155000,-0.009318,0.050156
0.160000,-0.008717,0.050160
0.165000,-0.009204,0.050166
0.170000,-0.007950,0.050170
0.175000,-0.008283,0.050176
0.180000,-0.008718,0.050180
0.185000,-0.011733,0.050186
0.190000,-0.013786,0.050190
0.195000,-0.014397,0.050196
0.200000,-0.014013,0.050200
0.205000,-0.013852,0.050206
0.210000,-0.013765,0.050210
0.215000,-0.014953,0.050216
0.220000,-0.015935,0.050220
0.225000,-0.013888,0.050225
0.230000,-0.013379,0.050229
0.235000,-0.011956,0.050235
0.240000,-0.011582,0.050239
0.245000,-0.008811,0.050245
0.250000,-0.008332,0.050249
0.255000,-0.013630,0.050255
0.260000,-0.015867,0.050259
0.265000,-0.013973,0.050265
0.270000,-0.010595,0.050269
0.275000,-0.009963,0.050275
0.280000,-0.009419,0.050279
0.285000,-0.009657,0.050285
0.290000,-0.009623,0.050289
0.295000,-0.009349,0.050295
0.300000,-0.007998,0.050299
0.305000,-0.005663,0.050305
0.310000,-0.006138,0.050309
0.314999,-0.005471,0.050315
0.319999,-0.004648,0.050319
0.324999,-0.003126,0.050325
0.329999,-0.004587,0.050329
0.334999,-0.003280,0.050335
0.339999,-0.003471,0.050339
0.344999,-0.003822,0.050345
0.349999,-0.005125,0.050349
0.354999,-0.005981,0.050355
0.359999,-0.005428,0.050359
0.364999,-0.006314,0.050365
0.369999,-0.004889,0.050369
0.374999,-0.006440,0.050375
0.379999,-0.006441,0.050379
0.384999,-0.007604,0.050385
0.389999,-0.004643,0.050388
0.394998,-0.007907,0.050394
0.399998,-0.011316,0.050398
0.404998,-0.008780,0.050404
0.409998,-0.007788,0.050408
0.414998,-0.005917,0.050414
0.419998,-0.007285,0.050418
0.424998,-0.006271,0.050424
0.429998,-0.006903,0.050428
0.434998,-0.008360,0.050434
0.439998,-0.007566,0.050438
0.444998,-0.007296,0.050444
0.449998,-0.007530,0.050448
0.454998,-0.009882,0.050454
0.459998,-0.010636,0.050458
0.464998,-0.011655,0.050464
0.469997,-0.008524,0.050468
0.474997,-0.005624,0.050474
0.479997,-0.005398,0.050478
0.484997,-0.004415,0.050484
0.489997,-0.003375,0.050488
0.494997,-0.000193,0.050494
0.499997,0.000100,0.050498
0.504997,-0.000908,0.050503
0.509997,-0.002226,0.050507
0.514997,-0.004645,0.050513
0.519997,-0.006354,0.050517
0.524997,-0.007653,0.050523
0.529997,-0.006989,0.050527
0.534997,-0.005716,0.050533
0.539997,-0.004090,0.050537
0.544997,-0.004966,0.050543
0.549996,-0.005383,0.050547
0.554996,-0.007548,0.050553
0.559996,-0.007896,0.050557
0.564996,-0.007928,0.050563
0.569996,-0.006521,0.050567
0.574996,-0.003676,0.050573
0.579996,-0.004175,0.050577
0.584996,-0.005418,0.050583
0.589996,-0.006315,0.050587
0.594996,-0.008411,0.050592
0.599996,-0.007145,0.050596
0.604996,-0.007615,0.050602
0.609996,-0.006376,0.050606
0.614996,-0.006418,0.050612
0.619996,-0.009160,0.050616
0.624996,-0.011310,0.050622
0.629995,-0.012288,0.050626
0.634995,-0.014264,0.050632
0.639995,-0.015706,0.050636
0.644995,-0.015604,0.050642
0.649995,-0.019354,0.050646
0.654995,-0.019748,0.050652
0.659995,-0.017574,0.050656
0.664995,-0.015576,0.050662
0.669995,-0.015920,0.050666
0.674995,-0.018648,0.050671
0.679995,-0.017670,0.050675
0.684995,-0.017573,0.050681
0.689995,-0.018473,0.050685
0.694995,-0.017948,0.050691
0.699995,-0.019196,0.050695
0.704994,-0.016800,0.050701
0.709994,-0.017474,0.050705
0.714994,-0.017048,0.050711
0.719994,-0.016368,0.050715
0.724994,-0.014837,0.050721
0.729994,-0.018971,0.050725
0.734994,-0.015307,0.050731
0.739994,-0.015847,0.050735
0.744994,-0.016722,0.050741
0.749994,-0.015784,0.050744
0.754994,-0.013297,0.050750
0.759994,-0.014120,0.050754
0.764994,-0.014429,0.050760
0.769994,-0.012331,0.050764
0.774994,-0.011442,0.050770
0.779994,-0.010657,0.050774
0.784993,-0.012560,0.050780
0.789993,-0.014317,0.050784
0.794993,-0.013470,0.050790
0.799993,-0.013061,0.050794
0.804993,-0.010775,0.050800
