time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,-0.000000,0.000001,-0.000006,0.000751
0.010000,-0.000000,0.000014,-0.000064,0.001881
0.015000,-0.000001,0.000024,-0.000224,0.002584
0.020000,-0.000003,-0.000030,-0.000533,-0.007748
0.025000,-0.000007,-0.000075,-0.001021,-0.007534
0.030000,-0.000014,-0.000106,-0.001697,-0.007518
0.035000,-0.000025,-0.000151,-0.002553,-0.007599
0.040000,-0.000041,-0.000157,-0.003552,-0.006774
0.045000,-0.000062,-0.000197,-0.004673,-0.008156
0.050000,-0.000089,-0.000204,-0.005846,-0.005510
0.055000,-0.000121,-0.000245,-0.007009,-0.010211
0.060000,-0.000160,-0.000487,-0.008124,-0.019332
0.065000,-0.000204,-0.000602,-0.009161,-0.023042
0.070000,-0.000252,-0.000606,-0.010070,-0.020268
0.075000,-0.000305,-0.000723,-0.010819,-0.019224
0.080000,-0.000361,-0.000445,-0.011409,-0.007647
0.085000,-0.000419,-0.000492,-0.011822,-0.008865
0.090000,-0.000479,-0.000170,-0.012049,0.000415
0.095000,-0.000540,-0.000171,-0.012135,-0.002496
0.100000,-0.000600,0.000001,-0.012144,0.001122
0.105000,-0.000661,0.002906,-0.012137,0.101428
0.110000,-0.000722,0.003321,-0.012172,0.098011
0.115000,-0.000783,0.003900,-0.012311,0.096075
0.120000,-0.000845,0.004282,-0.012602,0.094610
0.125000,-0.000910,0.004854,-0.013094,0.096338
0.130000,-0.000977,0.005255,-0.013819,0.097015
0.135000,-0.001049,0.005839,-0.014817,0.097215
0.140000,-0.001127,0.006231,-0.016085,0.095015
0.145000,-0.001212,0.006796,-0.017625,0.091597
0.150000,-0.001305,0.007072,-0.019417,0.087015
0.155000,-0.001409,0.007586,-0.021490,0.081301
0.160000,-0.001523,0.007589,-0.023851,0.068963
0.165000,-0.001650,0.008000,-0.026476,0.065467
0.170000,-0.001791,0.008240,-0.029317,0.059185
0.175000,-0.001946,0.008583,-0.032381,0.054198
0.180000,-0.002118,0.008894,-0.035684,0.053910
0.185000,-0.002307,0.009215,-0.039082,0.050811
0.190000,-0.002512,0.009679,-0.042498,0.050715
0.195000,-0.002735,0.009973,-0.046008,0.045947
0.200000,-0.002976,0.010280,-0.049621,0.045835
0.205000,-0.003235,-0.000384,-0.053202,-0.002760
0.210000,-0.003512,-0.000409,-0.056715,-0.007960
0.215000,-0.003806,-0.000467,-0.060209,-0.011350
0.220000,-0.004117,-0.000516,-0.063711,-0.013122
0.225000,-0.004446,-0.000607,-0.067144,-0.018229
0.230000,-0.004792,-0.000690,-0.070299,-0.024639
0.235000,-0.005152,-0.000838,-0.073243,-0.025898
0.240000,-0.005526,-0.000912,-0.075936,-0.027205
0.245000,-0.005914,-0.001074,-0.078425,-0.028341
0.250000,-0.006313,-0.001358,-0.080712,-0.038928
0.255000,-0.006723,-0.001602,-0.082920,-0.042869
0.260000,-0.007144,-0.002013,-0.085006,-0.053103
0.265000,-0.007575,-0.002340,-0.086924,-0.058428
0.270000,-0.008014,-0.002514,-0.088598,-0.057367
0.275000,-0.008462,-0.002869,-0.090013,-0.062191
0.280000,-0.008915,-0.003107,-0.091140,-0.065723
0.285000,-0.009374,-0.003511,-0.091982,-0.069122
0.290000,-0.009835,-0.003818,-0.092543,-0.073295
0.295000,-0.010299,-0.004261,-0.092827,-0.073938
0.300000,-0.010763,-0.004657,-0.092830,-0.075408
0.305000,-0.011227,-0.014153,-0.092584,-0.091127
0.310000,-0.011688,-0.014599,-0.092119,-0.088948
0.314999,-0.012147,-0.015126,-0.091458,-0.089404
0.319999,-0.012602,-0.015517,-0.090593,-0.087113
0.324999,-0.013052,-0.016041,-0.089545,-0.085075
0.329999,-0.013496,-0.016358,-0.088323,-0.089863
0.334999,-0.013933,-0.016888,-0.086929,-0.086600
0.339999,-0.014364,-0.017298,-0.085379,-0.097604
0.344999,-0.014785,-0.017882,-0.083624,-0.097591
0.349999,-0.015198,-0.018321,-0.081682,-0.100888
0.354999,-0.015600,-0.018924,-0.079597,-0.099186
0.359999,-0.015991,-0.019365,-0.077316,-0.101594
0.364999,-0.016370,-0.019975,-0.074829,-0.104820
0.369999,-0.016736,-0.020271,-0.072077,-0.102185
0.374999,-0.017088,-0.020879,-0.069005,-0.098888
0.379999,-0.017423,-0.021264,-0.065640,-0.096579
0.384999,-0.017740,-0.021836,-0.061986,-0.092483
0.389999,-0.018038,-0.022255,-0.058169,-0.092242
0.394998,-0.018317,-0.022811,-0.054191,-0.092296
0.399998,-0.018576,-0.022905,-0.050110,-0.081558
0.404998,-0.018814,-0.014808,-0.045815,-0.004830
0.409998,-0.019030,-0.014876,-0.041299,-0.001001
0.414998,-0.019222,-0.014879,-0.036622,0.001485
0.419998,-0.019391,-0.014938,-0.031987,0.006865
0.424998,-0.019538,-0.014890,-0.027449,0.011395
0.429998,-0.019662,-0.014826,-0.023146,0.012826
0.434998,-0.019765,-0.014750,-0.019045,0.012896
0.439998,-0.019849,-0.014694,-0.015163,0.011292
0.444998,-0.019913,-0.014614,-0.011557,0.016249
0.449998,-0.019961,-0.014650,-0.008185,0.006822
