time, Quad.Est.E.Pos, Quad.Est.S.Z
0.005000,0.000010,0.300030
0.010000,0.000043,0.300057
0.015000,0.000107,0.300105
0.020000,0.000154,0.300143
0.025000,0.000235,0.300210
0.030000,0.000311,0.300260
0.035000,0.000408,0.300344
0.040000,0.000459,0.300407
0.045000,0.000520,0.300509
0.050000,0.000565,0.300583
0.055000,0.000606,0.300704
0.060000,0.000717,0.300790
0.065000,0.000813,0.300928
0.070000,0.000821,0.301027
0.075000,0.000911,0.301183
0.080000,0.000865,0.301293
0.085000,0.000961,0.301468
0.090000,0.001094,0.301590
0.095000,0.001304,0.301782
0.100000,0.001517,0.301916
0.105000,0.001811,0.302126
0.110000,0.001971,0.302272
0.115000,0.002297,0.302500
0.120000,0.002527,0.302658
0.125000,0.002856,0.302903
0.130000,0.003093,0.303073
0.135000,0.003379,0.303336
0.140000,0.003570,0.303518
0.145000,0.003830,0.303798
0.150000,0.003941,0.303992
0.155000,0.004224,0.304290
0.160000,0.004393,0.304495
0.165000,0.004710,0.304811
0.170000,0.004942,0.305028
0.175000,0.005310,0.305361
0.180000,0.005556,0.305590
0.185000,0.005956,0.305941
0.190000,0.006152,0.306180
0.195000,0.006486,0.306549
0.200000,0.006680,0.306800
0.205000,0.007003,0.307185
0.210000,0.007211,0.307448
0.215000,0.007492,0.307851
0.220000,0.007657,0.308125
0.225000,0.007869,0.308544
0.230000,0.008006,0.308830
0.235000,0.008206,0.309267
0.240000,0.008327,0.309563
0.245000,0.008512,0.310017
0.250000,0.008707,0.310325
0.255000,0.008872,0.310795
0.260000,0.009327,0.311114
0.265000,0.009564,0.311601
0.270000,0.009634,0.311931
0.275000,0.009832,0.312434
0.280000,0.009940,0.312775
0.285000,0.010142,0.313295
0.290000,0.010323,0.313647
0.295000,0.010563,0.314183
0.300000,0.010874,0.314546
0.305000,0.011172,0.315098
0.310000,0.011148,0.315471
0.314999,0.011460,0.316040
0.319999,0.011497,0.316424
0.324999,0.011784,0.317008
0.329999,0.012379,0.317403
0.334999,0.012728,0.318003
0.339999,0.014192,0.318408
0.344999,0.014644,0.319024
0.349999,0.015291,0.319439
0.354999,0.015768,0.320071
0.359999,0.016305,0.320497
0.364999,0.016836,0.321143
0.369999,0.016819,0.321579
0.374999,0.017411,0.322241
0.379999,0.017790,0.322688
0.384999,0.018378,0.323365
0.389999,0.018872,0.323821
0.394998,0.019477,0.324513
0.399998,0.019392,0.324979
0.404998,0.020016,0.325686
0.409998,0.020203,0.326162
0.414998,0.020835,0.326884
0.419998,0.020832,0.327370
0.424998,0.021481,0.328106
0.429998,0.022055,0.328602
0.434998,0.022707,0.329352
0.439998,0.023642,0.329857
0.444998,0.024319,0.330622
0.449998,0.026125,0.331137
0.454998,0.026872,0.331916
0.459998,0.027328,0.332440
0.464998,0.028030,0.333233
0.469997,0.026943,0.333766
0.474997,0.027525,0.334573
0.479997,0.027132,0.335115
0.484997,0.027691,0.335936
0.489997,0.028546,0.336487
0.494997,0.029141,0.337321
0.499997,0.029208,0.337882
0.504997,0.029795,0.338729
0.509997,0.029875,0.339298
0.514997,0.030450,0.340159
0.519997,0.030675,0.340737
0.524997,0.031271,0.341611
0.529997,0.031707,0.342198
0.534997,0.032294,0.343084
0.539997,0.032854,0.343680
0.544997,0.033485,0.344579
0.549996,0.033361,0.345183
0.554996,0.033951,0.346095
0.559996,0.033402,0.346707
0.564996,0.033894,0.347632
0.569996,0.035521,0.348252
0.574996,0.036082,0.349189
0.579996,0.036492,0.349818
0.584996,0.037092,0.350767
0.589996,0.038326,0.351404
0.594996,0.038963,0.352365
0.599996,0.040249,0.353010
0.604996,0.040961,0.353983
0.609996,0.041832,0.354636
0.614996,0.042588,0.355621
0.619996,0.042843,0.356281
0.624996,0.043617,0.357278
0.629995,0.045128,0.357946
0.634995,0.045959,0.358954
0.639995,0.048280,0.359630
0.644995,0.049201,0.360649
0.649995,0.048800,0.361332
0.654995,0.049679,0.362363
0.659995,0.050178,0.363053
0.664995,0.051038,0.364095
0.669995,0.052427,0.364793
0.674995,0.053355,0.365846
0.679995,0.056489,0.366551
0.684995,0.057546,0.367614
0.689995,0.056362,0.368326
0.694995,0.057323,0.369400
0.699995,0.060464,0.370119
0.704994,0.061567,0.371204
0.709994,0.061222,0.371930
0.714994,0.062273,0.373025
0.719994,0.063584,0.373758
0.724994,0.064681,0.374863
0.729994,0.066237,0.375603
0.734994,0.067415,0.376718
0.739994,0.067256,0.377464
0.744994,0.068392,0.378589
0.749994,0.069291,0.379343
0.754994,0.070443,0.380477
0.759994,0.070996,0.381237
0.764994,0.072184,0.382381
0.769994,0.072047,0.383148
0.774994,0.073176,0.384301
0.779994,0.073561,0.385074
0.784993,0.074692,0.386237
0.789993,0.076401,0.387016
0.794993,0.077578,0.388189
0.799993,0.079566,0.388974
0.804993,0.080822,0.390156
0.809993,0.079158,0.390947
0.814993,0.080305,0.392137
0.819993,0.077299,0.392934
0.824993,0.078278,0.394134
0.829993,0.080402,0.394937
0.834993,0.081484,0.396146
0.839993,0.081220,0.396955
0.844993,0.082253,0.398172
0.849993,0.082372,0.398986
0.854993,0.083384,0.400212
0.859993,0.085146,0.401033
0.864992,0.086199,0.402267
0.869992,0.087611,0.403093
0.874992,0.088698,0.404336
0.879992,0.089074,0.405167
0.884992,0.090160,0.406418
0.889992,0.091336,0.407255
0.894992,0.092463,0.408514
0.899992,0.092046,0.409356
0.904992,0.093133,0.410623
0.909992,0.094839,0.411471
0.914992,0.095978,0.412746
0.919992,0.096530,0.413598
0.924992,0.097649,0.414881
0.929992,0.098756,0.415739
0.934992,0.099888,0.417030
0.939991,0.098796,0.417893
0.944991,0.099863,0.419191
0.949991,0.100804,0.420059
0.954991,0.101905,0.421365
0.959991,0.104666,0.422238
0.964991,0.105847,0.423551
0.969991,0.106595,0.424428
0.974991,0.107781,0.425749
0.979991,0.108165,0.426631
0.984991,0.109349,0.427959
0.989991,0.111150,0.428846
0.994991,0.112409,0.430181
0.999991,0.111617,0.431073
1.004991,0.112801,0.432415
1.009991,0.113952,0.433312
1.014991,0.115162,0.434660
1.019992,0.114567,0.435561
1.024992,0.115738,0.436917
1.029992,0.116144,0.437823
1.034992,0.117306,0.439185
1.039993,0.116456,0.440095
1.044993,0.117542,0.441464
1.049993,0.118787,0.442378
1.054993,0.119885,0.443754
1.059994,0.120359,0.444673
