time, Quad.Est.E.Pos, Quad.Est.S.Z
0.005000,0.000008,0.300030
0.010000,0.000038,0.300057
0.015000,0.000097,0.300105
0.020000,0.000141,0.300143
0.025000,0.000218,0.300210
0.030000,0.000292,0.300260
0.035000,0.000385,0.300344
0.040000,0.000432,0.300407
0.045000,0.000489,0.300509
0.050000,0.000531,0.300583
0.055000,0.000567,0.300704
0.060000,0.000680,0.300790
0.065000,0.000772,0.300928
0.070000,0.000777,0.301027
0.075000,0.000863,0.301183
0.080000,0.000808,0.301293
0.085000,0.000900,0.301468
0.090000,0.001031,0.301590
0.095000,0.001238,0.301782
0.100000,0.001451,0.301916
0.105000,0.012684,0.301268
0.110000,0.013030,0.301349
0.115000,0.013567,0.301475
0.120000,0.013949,0.301562
0.125000,0.014531,0.301697
0.130000,0.014931,0.301790
0.135000,0.015529,0.301934
0.140000,0.015935,0.302033
0.145000,0.016552,0.302186
0.150000,0.016929,0.302291
0.155000,0.017569,0.302453
0.160000,0.017836,0.302564
0.165000,0.018474,0.302735
0.170000,0.018902,0.302852
0.175000,0.019555,0.303032
0.180000,0.020067,0.303154
0.185000,0.020776,0.303343
0.190000,0.021384,0.303472
0.195000,0.022070,0.303669
0.200000,0.022591,0.303804
0.205000,0.012918,0.302938
0.210000,0.013216,0.303037
0.215000,0.013704,0.303189
0.220000,0.014056,0.303291
0.225000,0.014630,0.303448
0.230000,0.015023,0.303555
0.235000,0.015622,0.303718
0.240000,0.016047,0.303829
0.245000,0.016677,0.303998
0.250000,0.017068,0.304113
0.255000,0.017730,0.304288
0.260000,0.018106,0.304406
0.265000,0.018725,0.304587
0.270000,0.019155,0.304710
0.275000,0.019802,0.304897
0.280000,0.020255,0.305023
0.285000,0.020919,0.305216
0.290000,0.021350,0.305347
0.295000,0.022008,0.305546
0.300000,0.022404,0.305680
0.305000,0.033069,0.304708
0.310000,0.033576,0.304816
0.314999,0.034306,0.304979
0.319999,0.034811,0.305089
0.324999,0.035571,0.305257
0.329999,0.036066,0.305370
0.334999,0.036802,0.305542
0.339999,0.037294,0.305658
0.344999,0.038022,0.305834
0.349999,0.038515,0.305954
0.354999,0.039248,0.306135
0.359999,0.039731,0.306257
0.364999,0.040443,0.306442
0.369999,0.040880,0.306567
0.374999,0.041520,0.306757
0.379999,0.041950,0.306886
0.384999,0.042593,0.307080
0.389999,0.043048,0.307211
0.394998,0.043700,0.307410
0.399998,0.044084,0.307545
0.404998,0.043973,0.306511
0.409998,0.044405,0.306623
0.414998,0.045032,0.306793
0.419998,0.045444,0.306907
0.424998,0.046031,0.307080
0.429998,0.046417,0.307197
0.434998,0.047020,0.307374
0.439998,0.047428,0.307493
0.444998,0.048055,0.307674
0.449998,0.048462,0.307795
0.454998,0.049103,0.307979
0.459998,0.049558,0.308104
0.464998,0.050253,0.308291
0.469997,0.050759,0.308418
0.474997,0.051499,0.308609
0.479997,0.052032,0.308738
0.484997,0.052771,0.308933
0.489997,0.053232,0.309065
0.494997,0.053961,0.309264
0.499997,0.054465,0.309397
0.504997,0.034159,0.308325
0.509997,0.034353,0.308439
0.514997,0.034679,0.308613
0.519997,0.034871,0.308730
0.524997,0.035167,0.308906
0.529997,0.035372,0.309025
0.534997,0.035700,0.309205
0.539997,0.035919,0.309326
0.544997,0.036235,0.309509
0.549996,0.036451,0.309632
0.554996,0.036812,0.309818
0.559996,0.037112,0.309943
0.564996,0.037567,0.310132
0.569996,0.037787,0.310259
0.574996,0.038228,0.310451
0.579996,0.038504,0.310580
0.584996,0.038919,0.310775
0.589996,0.039131,0.310907
0.594996,0.039558,0.311105
0.599996,0.039724,0.311238
0.604996,0.075220,0.310139
0.609996,0.075733,0.310256
0.614996,0.076461,0.310432
0.619996,0.076937,0.310550
0.624996,0.077656,0.310729
0.629995,0.078167,0.310849
0.634995,0.078893,0.311030
0.639995,0.079388,0.311152
0.644995,0.080134,0.311336
0.649995,0.080638,0.311460
0.654995,0.081375,0.311647
0.659995,0.081866,0.311772
0.664995,0.082638,0.311962
0.669995,0.083103,0.312090
0.674995,0.083844,0.312282
0.679995,0.084211,0.312411
0.684995,0.084973,0.312606
0.689995,0.085603,0.312737
0.694995,0.086388,0.312935
0.699995,0.086722,0.313068
0.704994,0.075062,0.311950
0.709994,0.075441,0.312068
0.714994,0.076093,0.312245
0.719994,0.076557,0.312365
0.724994,0.077221,0.312545
0.729994,0.077655,0.312666
0.734994,0.078271,0.312848
0.739994,0.078673,0.312971
0.744994,0.079313,0.313156
0.749994,0.079733,0.313280
0.754994,0.080373,0.313467
0.759994,0.080795,0.313593
0.764994,0.081412,0.313783
0.769994,0.081850,0.313910
0.774994,0.082491,0.314102
0.779994,0.082919,0.314231
0.784993,0.083521,0.314426
0.789993,0.083878,0.314557
0.794993,0.084479,0.314754
0.799993,0.084819,0.314887
0.804993,0.064015,0.313755
0.809993,0.064152,0.313874
0.814993,0.064703,0.314052
0.819993,0.064835,0.314172
0.824993,0.065408,0.314353
0.829993,0.065818,0.314474
0.834993,0.066343,0.314657
0.839993,0.066685,0.314780
0.844993,0.067223,0.314965
0.849993,0.067582,0.315090
0.854993,0.068114,0.315277
0.859993,0.068428,0.315403
0.864992,0.068951,0.315593
0.869992,0.069258,0.315720
0.874992,0.069777,0.315912
0.879992,0.070151,0.316041
0.884992,0.070667,0.316235
0.889992,0.070960,0.316366
0.894992,0.071453,0.316562
0.899992,0.071921,0.316694
0.904992,0.067337,0.315554
0.909992,0.067736,0.315672
0.914992,0.068196,0.315851
0.919992,0.068498,0.315972
0.924992,0.068992,0.316153
0.929992,0.069345,0.316274
0.934992,0.069838,0.316457
0.939991,0.070144,0.316580
0.944991,0.070641,0.316766
0.949991,0.070962,0.316890
0.954991,0.071416,0.317077
0.959991,0.071662,0.317203
0.964991,0.072113,0.317393
0.969991,0.072405,0.317520
0.974991,0.072855,0.317712
0.979991,0.073174,0.317840
0.984991,0.073622,0.318034
0.989991,0.073813,0.318164
0.994991,0.074214,0.318360
0.999991,0.074689,0.318491
1.004991,0.084799,0.317344
1.009991,0.085180,0.317463
1.014991,0.085720,0.317642
1.019992,0.086004,0.317762
1.024992,0.086520,0.317943
1.029992,0.086852,0.318065
1.034992,0.087375,0.318248
1.039993,0.087715,0.318371
1.044993,0.088269,0.318556
1.049993,0.088632,0.318680
1.054993,0.089165,0.318868
1.059994,0.089536,0.318993
1.064994,0.090077,0.319182
1.069994,0.090392,0.319309
1.074994,0.090955,0.319501
1.079994,0.091369,0.319629
1.084995,0.091953,0.319822
1.089995,0.092275,0.319951
1.094995,0.092828,0.320147
1.099995,0.093145,0.320278
1.104996,0.095709,0.319125
