time, Quad.Est.E.Pos, Quad.Est.S.Z
0.005000,0.000010,0.300030
0.010000,0.000043,0.300057
0.015000,0.000106,0.300105
0.020000,0.000152,0.300143
0.025000,0.000230,0.300210
0.030000,0.000304,0.300260
0.035000,0.000401,0.300344
0.040000,0.000451,0.300407
0.045000,0.000510,0.300509
0.050000,0.000554,0.300583
0.055000,0.000594,0.300704
0.060000,0.000709,0.300790
0.065000,0.000804,0.300928
0.070000,0.000810,0.301027
0.075000,0.000900,0.301183
0.080000,0.000845,0.301293
0.085000,0.000935,0.301468
0.090000,0.001067,0.301590
0.095000,0.001274,0.301782
0.100000,0.001490,0.301916
0.105000,0.012726,0.301283
0.110000,0.013076,0.301364
0.115000,0.013616,0.301490
0.120000,0.014002,0.301577
0.125000,0.014588,0.301712
0.130000,0.014991,0.301805
0.135000,0.015593,0.301949
0.140000,0.016001,0.302048
0.145000,0.016622,0.302201
0.150000,0.017002,0.302306
0.155000,0.017648,0.302468
0.160000,0.017918,0.302579
0.165000,0.018562,0.302750
0.170000,0.018994,0.302867
0.175000,0.019653,0.303047
0.180000,0.020168,0.303169
0.185000,0.020882,0.303358
0.190000,0.021491,0.303487
0.195000,0.022181,0.303684
0.200000,0.022704,0.303819
0.205000,0.012981,0.302969
0.210000,0.013277,0.303068
0.215000,0.013760,0.303219
0.220000,0.014111,0.303322
0.225000,0.014683,0.303479
0.230000,0.015076,0.303585
0.235000,0.015672,0.303749
0.240000,0.016097,0.303859
0.245000,0.016726,0.304028
0.250000,0.017115,0.304143
0.255000,0.017777,0.304318
0.260000,0.018154,0.304437
0.265000,0.018774,0.304618
0.270000,0.019205,0.304740
0.275000,0.019853,0.304927
0.280000,0.020305,0.305054
0.285000,0.020968,0.305247
0.290000,0.021398,0.305377
0.295000,0.022056,0.305576
0.300000,0.022452,0.305711
0.305000,0.032956,0.304754
0.310000,0.033464,0.304861
0.314999,0.034195,0.305024
0.319999,0.034701,0.305135
0.324999,0.035462,0.305302
0.329999,0.035958,0.305415
0.334999,0.036694,0.305587
0.339999,0.037185,0.305704
0.344999,0.037913,0.305880
0.349999,0.038404,0.305999
0.354999,0.039135,0.306180
0.359999,0.039615,0.306302
0.364999,0.040325,0.306488
0.369999,0.040762,0.306613
0.374999,0.041404,0.306803
0.379999,0.041834,0.306931
0.384999,0.042477,0.307126
0.389999,0.042931,0.307257
0.394998,0.043580,0.307456
0.399998,0.043963,0.307590
0.404998,0.044126,0.306572
0.409998,0.044553,0.306684
0.414998,0.045175,0.306854
0.419998,0.045582,0.306968
0.424998,0.046163,0.307142
0.429998,0.046545,0.307258
0.434998,0.047140,0.307435
0.439998,0.047543,0.307554
0.444998,0.048163,0.307735
0.449998,0.048565,0.307856
0.454998,0.049199,0.308041
0.459998,0.049648,0.308165
0.464998,0.050335,0.308352
0.469997,0.050839,0.308479
0.474997,0.051573,0.308670
0.479997,0.052104,0.308799
0.484997,0.052836,0.308994
0.489997,0.053291,0.309126
0.494997,0.054012,0.309325
0.499997,0.054511,0.309458
0.504997,0.034310,0.308402
0.509997,0.034500,0.308516
0.514997,0.034821,0.308690
0.519997,0.035010,0.308807
0.524997,0.035303,0.308983
0.529997,0.035505,0.309102
0.534997,0.035830,0.309282
0.539997,0.036046,0.309403
0.544997,0.036355,0.309586
0.549996,0.036566,0.309709
0.554996,0.036922,0.309895
0.559996,0.037215,0.310020
0.564996,0.037662,0.310209
0.569996,0.037880,0.310336
0.574996,0.038314,0.310528
0.579996,0.038585,0.310657
0.584996,0.038993,0.310852
0.589996,0.039206,0.310984
0.594996,0.039628,0.311182
0.599996,0.039798,0.311315
0.604996,0.075087,0.310232
0.609996,0.075594,0.310349
0.614996,0.076319,0.310525
0.619996,0.076797,0.310643
0.624996,0.077514,0.310822
0.629995,0.078018,0.310942
0.634995,0.078743,0.311123
0.639995,0.079235,0.311245
0.644995,0.079983,0.311430
0.649995,0.080488,0.311553
0.654995,0.081228,0.311740
0.659995,0.081721,0.311866
0.664995,0.082496,0.312055
0.669995,0.082971,0.312183
0.674995,0.083717,0.312375
0.679995,0.084115,0.312504
0.684995,0.084888,0.312699
0.689995,0.085501,0.312830
0.694995,0.086295,0.313028
0.699995,0.086674,0.313161
0.704994,0.075095,0.312060
0.709994,0.075494,0.312177
0.714994,0.076157,0.312355
0.719994,0.076625,0.312474
0.724994,0.077302,0.312654
0.729994,0.077740,0.312775
0.734994,0.078369,0.312958
0.739994,0.078780,0.313080
0.744994,0.079428,0.313265
0.749994,0.079855,0.313389
0.754994,0.080505,0.313576
0.759994,0.080932,0.313702
0.764994,0.081559,0.313892
0.769994,0.081999,0.314020
0.774994,0.082649,0.314212
0.779994,0.083081,0.314341
0.784993,0.083691,0.314536
0.789993,0.084061,0.314666
0.794993,0.084671,0.314864
0.799993,0.085026,0.314996
0.804993,0.064055,0.313881
0.809993,0.064205,0.314000
0.814993,0.064757,0.314178
0.819993,0.064900,0.314298
0.824993,0.065471,0.314479
0.829993,0.065878,0.314600
0.834993,0.066403,0.314783
0.839993,0.066745,0.314906
0.844993,0.067283,0.315091
0.849993,0.067643,0.315216
0.854993,0.068175,0.315403
0.859993,0.068489,0.315529
0.864992,0.069011,0.315719
0.869992,0.069317,0.315846
0.874992,0.069834,0.316038
0.879992,0.070207,0.316167
0.884992,0.070720,0.316361
0.889992,0.071012,0.316492
0.894992,0.071502,0.316688
0.899992,0.071970,0.316820
0.904992,0.067251,0.315696
0.909992,0.067651,0.315815
0.914992,0.068109,0.315994
0.919992,0.068409,0.316114
0.924992,0.068902,0.316295
0.929992,0.069257,0.316417
0.934992,0.069751,0.316600
0.939991,0.070056,0.316723
0.944991,0.070554,0.316908
0.949991,0.070877,0.317033
0.954991,0.071332,0.317220
0.959991,0.071576,0.317346
0.964991,0.072029,0.317535
0.969991,0.072321,0.317662
0.974991,0.072774,0.317854
0.979991,0.073097,0.317983
0.984991,0.073549,0.318176
0.989991,0.073734,0.318306
0.994991,0.074136,0.318502
0.999991,0.074629,0.318634
1.004991,0.084187,0.317503
1.009991,0.084569,0.317622
1.014991,0.085112,0.317801
1.019992,0.085393,0.317922
1.024992,0.085913,0.318103
1.029992,0.086246,0.318224
1.034992,0.086773,0.318408
1.039993,0.087114,0.318530
1.044993,0.087673,0.318716
1.049993,0.088039,0.318840
1.054993,0.088577,0.319027
1.059994,0.088952,0.319153
